side,horizon_minutes,feature_count,ctx_body_direction,train_sample_size,train_success_rate,train_avg_return_atr,train_median_return_atr,train_avg_mfe_atr,train_avg_mae_atr,test_sample_size,test_success_rate,test_avg_return_atr,test_median_return_atr,test_avg_mfe_atr,test_avg_mae_atr,baseline_train_success_rate,baseline_test_success_rate,baseline_train_avg_return_atr,baseline_test_avg_return_atr,train_success_lift,test_success_lift,train_return_lift,test_return_lift,candidate_status,feature_1,ctx_structure_state,ctx_session_name,ctx_in_asia_session,ctx_in_london_session,ctx_in_ny_session,ctx_london_killzone,ctx_ny_killzone,ctx_compression_flag,ctx_expansion_flag,ctx_bos_up,ctx_bos_dn,ctx_choch_up,ctx_choch_dn,ctx_sweep_high,ctx_sweep_low,ctx_fvg_up,ctx_fvg_dn,ctx_ema20_above_ema50,ctx_vol_spike_1p5,ctx_vol_spike_2p0,ctx_vol_ratio_bucket,ctx_ATR_Z_bucket,ctx_BB_Width_Z_bucket,ctx_ADX_bucket,ctx_RSI_bucket,ctx_range_atr_bucket,ctx_body_atr_bucket,ctx_spread_z_bucket,ctx_ema20_slope_5_bucket,ctx_ema50_slope_5_bucket,ctx_dist_ema20_atr_bucket,ctx_dist_ema50_atr_bucket,ctx_dist_donchian_high20_atr_bucket,ctx_dist_donchian_low20_atr_bucket,ctx_fvg_up_size_atr_bucket,ctx_fvg_dn_size_atr_bucket
DOWN,5,1,-1,8034,0.6155090863828728,0.31861953628864675,0.25406199886588987,1.5692902835667537,0.8764653361148885,3444,0.622822299651568,0.32329918229971477,0.29823836450628116,1.5220868652854576,0.8608264614058919,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,0.06178037234881528,0.055927322482618225,0.15135177855671447,0.13764753177502778,ROBUST_POSITIVE,ctx_body_direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOWN,5,1,0,28,0.17857142857142858,-0.926801779866185,-0.8270218228498211,0.6277346621957343,2.214825357056738,13,0.3076923076923077,-0.3785460737874684,-0.31233595800533154,0.7281371703681926,1.4701615561530377,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,-0.37515728546262894,-0.25920266947664206,-1.0940695375981173,-0.5641977243121554,NOT_ROBUST,ctx_body_direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOWN,5,1,1,2155,0.32761020881670533,-0.38850325775004235,-0.41457179377938586,0.8500472214858731,1.605712649291496,924,0.36363636363636365,-0.3061033455988757,-0.32226092687587293,0.8777303006818695,1.5767424777750036,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,-0.22611850521735222,-0.20325861353258612,-0.5557710154819746,-0.49175499612356266,ROBUST_NEGATIVE,ctx_body_direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UP,5,1,-1,2088,0.3103448275862069,-0.43812279054735526,-0.3920326721118452,0.7494646263616475,1.6617616774390356,896,0.29464285714285715,-0.49694042222154494,-0.5091203185265029,0.7573765364773387,1.71276326826592,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,-0.22990438127455254,-0.24181307271408797,-0.5693635505672223,-0.6076817066555653,ROBUST_NEGATIVE,ctx_body_direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UP,5,1,0,24,0.3333333333333333,-0.19986316722540445,-0.30545270236114286,0.8014704019209281,1.4789199686211196,11,0.45454545454545453,-0.5444733857749411,-0.19414483821296208,0.8974680143856646,1.9205969463084829,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,-0.20691587552742613,-0.0819104753114906,-0.33110392724527155,-0.6552146702089615,NOT_ROBUST,ctx_body_direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UP,5,1,1,7998,0.6020255063765941,0.2831959657457333,0.2509358037102315,1.5011774004572846,0.9272802202159438,3429,0.5972586759988335,0.2662300630661657,0.16358080172559034,1.4970787267535643,0.9267515204042395,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,0.06177629751583469,0.06080274614188841,0.1519552057258662,0.15548877863214527,ROBUST_POSITIVE,ctx_body_direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOWN,5,1,,5294,0.5634680770683793,0.20000530938225203,0.11662469808299644,1.5079710145034915,0.9998524032826521,2269,0.5755839576906127,0.236518024782962,0.1882640586796584,1.4598766050612433,0.9752299906638616,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,0.009739363034321769,0.008688980521662892,0.032737551650319746,0.050866374258275004,NOT_ROBUST,ctx_structure_state,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOWN,5,1,,2,1.0,0.03289898540940678,0.03289898540940678,1.5886234701626667,1.2463257277897306,1,1.0,4.774860779633997,4.774860779633997,4.795544948289543,0.3707239459029252,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,0.44627128596594245,0.43310502283105023,-0.1343687723225255,4.58920912910931,NOT_ROBUST,ctx_structure_state,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOWN,5,1,,4922,0.5453067858594067,0.13278619605283562,0.14818050946505373,1.319944599230087,1.0727547423641253,2110,0.5521327014218009,0.12720111657740296,0.13655258831830186,1.288750492484473,1.0500375228584802,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,-0.008421928174650817,-0.014762275747148834,-0.03448156167909666,-0.05845053394728403,NOT_ROBUST,ctx_structure_state,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UP,5,1,,5060,0.5258893280632411,0.06169523267686914,0.11771220689389987,1.239086984484936,1.1589836845456167,2169,0.5214384508990318,0.05175538253374123,0.03686635944739228,1.2659097182400252,1.1456308829366477,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,-0.014359880797518376,-0.015017478957913277,-0.06954552734299796,-0.0589859019002792,NOT_ROBUST,ctx_structure_state,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
