side,horizon_minutes,feature_count,ctx_body_direction,train_sample_size,train_success_rate,train_avg_return_atr,train_median_return_atr,train_avg_mfe_atr,train_avg_mae_atr,test_sample_size,test_success_rate,test_avg_return_atr,test_median_return_atr,test_avg_mfe_atr,test_avg_mae_atr,baseline_train_success_rate,baseline_test_success_rate,baseline_train_avg_return_atr,baseline_test_avg_return_atr,train_success_lift,test_success_lift,train_return_lift,test_return_lift,candidate_status,feature_1,ctx_structure_state,ctx_session_name,ctx_in_asia_session,ctx_in_london_session,ctx_in_ny_session,ctx_london_killzone,ctx_ny_killzone,ctx_compression_flag,ctx_expansion_flag,ctx_bos_up,ctx_bos_dn,ctx_choch_up,ctx_choch_dn,ctx_sweep_high,ctx_sweep_low,ctx_fvg_up,ctx_fvg_dn,ctx_ema20_above_ema50,ctx_vol_spike_1p5,ctx_vol_spike_2p0,ctx_vol_ratio_bucket,ctx_ATR_Z_bucket,ctx_BB_Width_Z_bucket,ctx_ADX_bucket,ctx_RSI_bucket,ctx_range_atr_bucket,ctx_body_atr_bucket,ctx_spread_z_bucket,ctx_ema20_slope_5_bucket,ctx_ema50_slope_5_bucket,ctx_dist_ema20_atr_bucket,ctx_dist_ema50_atr_bucket,ctx_dist_donchian_high20_atr_bucket,ctx_dist_donchian_low20_atr_bucket,ctx_fvg_up_size_atr_bucket,ctx_fvg_dn_size_atr_bucket
DOWN,5,1,-1,8034,0.6155090863828728,0.31861953628864675,0.25406199886588987,1.5692902835667537,0.8764653361148885,3444,0.622822299651568,0.32329918229971477,0.29823836450628116,1.5220868652854576,0.8608264614058919,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,0.06178037234881528,0.055927322482618225,0.15135177855671447,0.13764753177502778,ROBUST_POSITIVE,ctx_body_direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOWN,5,1,1,2155,0.32761020881670533,-0.38850325775004235,-0.41457179377938586,0.8500472214858731,1.605712649291496,924,0.36363636363636365,-0.3061033455988757,-0.32226092687587293,0.8777303006818695,1.5767424777750036,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,-0.22611850521735222,-0.20325861353258612,-0.5557710154819746,-0.49175499612356266,ROBUST_NEGATIVE,ctx_body_direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UP,5,1,-1,2088,0.3103448275862069,-0.43812279054735526,-0.3920326721118452,0.7494646263616475,1.6617616774390356,896,0.29464285714285715,-0.49694042222154494,-0.5091203185265029,0.7573765364773387,1.71276326826592,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,-0.22990438127455254,-0.24181307271408797,-0.5693635505672223,-0.6076817066555653,ROBUST_NEGATIVE,ctx_body_direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UP,5,1,1,7998,0.6020255063765941,0.2831959657457333,0.2509358037102315,1.5011774004572846,0.9272802202159438,3429,0.5972586759988335,0.2662300630661657,0.16358080172559034,1.4970787267535643,0.9267515204042395,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,0.06177629751583469,0.06080274614188841,0.1519552057258662,0.15548877863214527,ROBUST_POSITIVE,ctx_body_direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UP,5,1,,807,0.7558859975216853,0.8663718209313065,0.7920990960830548,2.153127024725594,0.46411831550389476,346,0.7716763005780347,0.8280803012928686,0.7335474711600448,2.0428900930817155,0.461302621304283,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,0.21563678866092584,0.2352203707210896,0.7351310609114394,0.7173390168588482,ROBUST_POSITIVE,ctx_bos_up,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
DOWN,5,1,,798,0.7669172932330827,0.7162984774960723,0.6648923875394426,2.1152144015422274,0.497256420715523,343,0.7755102040816326,0.8847614522207037,0.6816693944350831,2.1383273964298137,0.43049006906969983,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,0.21318857919902512,0.20861522691268286,0.5490307197641401,0.6991098016960167,ROBUST_POSITIVE,ctx_bos_dn,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
UP,5,1,,349,0.7994269340974212,1.0524874077297628,0.9694374723164616,2.3062631844913466,0.34450004737863815,150,0.7533333333333333,0.7229677932686859,0.6275555899479694,2.0078217964749814,0.5104252187736603,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,0.2591777252366617,0.21687740347638818,0.9212466477098957,0.6122265088346655,ROBUST_POSITIVE,ctx_choch_up,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
DOWN,5,1,,319,0.8119122257053292,0.8323956812540179,0.7572283150548115,2.1711718259525425,0.4011279645675236,138,0.8260869565217391,0.9712260044856454,0.867684120208428,2.29573144192523,0.3300205089194759,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,0.2581835116712716,0.25919197935278937,0.6651279235220856,0.7855743539609584,ROBUST_POSITIVE,ctx_choch_dn,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
UP,5,1,,6115,0.6663941128372853,0.44350178135382107,0.4122497055359352,1.6615422055693139,0.7725798028904456,2621,0.6596718809614651,0.4076366835939747,0.29020100502506857,1.6430689735540636,0.7734973925126721,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,0.1261449039765259,0.12321595110452,0.31226102133395395,0.2968953991599543,ROBUST_POSITIVE,ctx_sweep_high,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
UP,5,1,,3996,0.3465965965965966,-0.34848092224198296,-0.3394019957429098,0.8533224545637329,1.558172003459007,1714,0.34947491248541424,-0.33887986192620695,-0.339969251918249,0.8960372590713319,1.5619110822611117,0.5402492088607594,0.5364559298569451,0.1312407600198671,0.11074128443402043,-0.19365261226416286,-0.1869810173715309,-0.4797216822618501,-0.4496211463602274,ROBUST_NEGATIVE,ctx_sweep_high,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
DOWN,5,1,,6090,0.6752052545155993,0.4821467766344828,0.40850564569378334,1.743226087158338,0.7191348595809051,2611,0.6821141325162773,0.4750634335370696,0.434599156118056,1.681142551079804,0.7070879565369087,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,0.12147654048154177,0.11521915534732752,0.31487901890255054,0.2894117830123826,ROBUST_POSITIVE,ctx_sweep_low,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
DOWN,5,1,,4127,0.37630239883692757,-0.2939053953287904,-0.3003786285234718,0.9366777654953702,1.4941097472122156,1770,0.3926553672316384,-0.24939025443184082,-0.22132632585486395,0.9312333368608735,1.4760610091713942,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,-0.17742631519712998,-0.17423960993731136,-0.4611731530607227,-0.43504190495652784,ROBUST_NEGATIVE,ctx_sweep_low,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
DOWN,5,1,,408,0.6666666666666666,0.6770646575753951,0.5580449227507285,2.2455379921926863,0.7691828555398291,175,0.6571428571428571,0.7208275450389794,0.5902867652067805,2.268195380009117,0.7587814288205437,0.5537287140340575,0.5668949771689498,0.16726775773193228,0.185651650524687,0.11293795263260908,0.09024787997390737,0.5097968998434629,0.5351758945142924,ROBUST_POSITIVE,ctx_vol_spike_1p5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
