feature_1,robust_count,mean_abs_test_success_lift,mean_abs_test_return_lift,score
ctx_RSI_bucket,7,0.07161276154637279,0.3087790559941362,7.3803918175405085
ctx_body_atr_bucket,18,0.09017561745938461,0.4106292176702859,18.50080483512967
ctx_body_direction,11,0.10514568130099328,0.41996905357812947,11.525114734879121
ctx_bos_dn,3,0.12889490977531734,0.4835590561148124,3.6124539658901296
ctx_bos_up,3,0.1712036170002642,1.0407042046596073,4.211907821659872
ctx_choch_dn,2,0.21819090903973398,0.4261431759143167,2.6443340849540506
ctx_choch_up,2,0.17718346660596956,0.41314618457409,2.5903296511800598
ctx_dist_donchian_high20_atr_bucket,8,0.08329108046470798,0.31631735251115833,8.399608432975866
ctx_dist_donchian_low20_atr_bucket,7,0.07387634257644307,0.3765957530959034,7.450472095672346
ctx_dist_ema20_atr_bucket,9,0.07294417023843591,0.33359257943567105,9.406536749674107
ctx_dist_ema50_atr_bucket,5,0.07607404161310066,0.6673159766408968,5.743390018253997
ctx_ema20_slope_5_bucket,1,0.1586919104991394,1.6257855862842763,2.7844774967834156
ctx_ema50_slope_5_bucket,1,0.11264475377237099,1.2224332594162748,2.335078013188646
ctx_fvg_dn,1,0.03117316473480858,0.6698538610206062,1.7010270257554148
ctx_fvg_up,1,0.043249151020726795,0.7948292952054272,1.8380784462261541
ctx_range_atr_bucket,11,0.08609517373797732,0.36813675572673715,11.454231929464715
ctx_session_name,1,0.034693001288106484,0.20736754016208897,1.2420605414501953
ctx_sweep_high,8,0.0909079441759976,0.4080872734670812,8.49899521764308
ctx_sweep_low,7,0.08870828117087541,0.340025797040188,7.428734078211064
ctx_vol_ratio_bucket,4,0.060196008275155824,0.3588465892287664,4.419042597503922
ctx_vol_spike_1p5,4,0.1060754077051442,0.49895427271801523,4.60502968042316
