side,m1_previous_body_bucket,m1_previous_range_bucket,m1_previous_volume_bucket,directional_alignment,horizon_minutes,sample_size,sample_status,success_rate,avg_mfe_atr,avg_mae_atr,avg_return_atr,median_return_atr
DOWN,SMALL_BODY,NORMAL_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,769,ADEQUATE,0.5643693107932379,1.3804937265882276,1.0847011319521638,0.13211650112837972,0.2505263157895785
UP,MEDIUM_BODY,NORMAL_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,763,ADEQUATE,0.5242463958060288,1.4411925407078963,1.0714496463529686,0.14326764571219183,-0.05239520958079017
DOWN,MEDIUM_BODY,NORMAL_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,736,ADEQUATE,0.5353260869565217,1.3334347364472066,1.1393584534947656,0.11010103691880256,0.13702565194632033
UP,STRONG_BODY,NORMAL_RANGE,LOW_VOLUME,PARTIAL_ALIGNMENT,5,731,ADEQUATE,0.53077975376197,1.3241982120361928,1.0499301817809814,0.1423479969597347,-0.006078147612104588
DOWN,STRONG_BODY,NORMAL_RANGE,LOW_VOLUME,PARTIAL_ALIGNMENT,5,730,ADEQUATE,0.5602739726027397,1.4006342521858504,1.01873787635211,0.20687825262738668,0.1193954075454506
DOWN,STRONG_BODY,NORMAL_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,720,ADEQUATE,0.525,1.407662046137442,1.0150468837366835,0.12048245236019353,0.012631467586026554
UP,SMALL_BODY,NORMAL_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,702,ADEQUATE,0.5170940170940171,1.4126733672687672,1.162566329418456,0.10548680806715688,-0.057890202101897534
UP,STRONG_BODY,NORMAL_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,695,ADEQUATE,0.5352517985611511,1.2456154766359107,1.1417971262725677,0.032786869149963246,0.14417344173480523
UP,MEDIUM_BODY,NORMAL_RANGE,LOW_VOLUME,PARTIAL_ALIGNMENT,5,680,ADEQUATE,0.5220588235294118,1.358673068936948,1.2148427254461538,0.02826677696545945,-0.07890906585541954
DOWN,STRONG_BODY,NORMAL_RANGE,NORMAL_VOLUME,NO_ALIGNMENT,5,651,ADEQUATE,0.5622119815668203,1.378237833389493,1.0151395805275103,0.1923702657942544,0.2533626803618699
UP,STRONG_BODY,NORMAL_RANGE,NORMAL_VOLUME,FULL_ALIGNMENT,5,641,ADEQUATE,0.5132605304212169,1.4070244954612092,1.0994444082333614,0.1531782649494842,-0.024275452068581595
DOWN,STRONG_BODY,LOW_RANGE,LOW_VOLUME,PARTIAL_ALIGNMENT,5,635,ADEQUATE,0.5889763779527559,1.3762195374287427,0.9012174360004123,0.2137096937272782,0.18293180890141414
