side,m1_previous_color,m5_color,m15_color,h1_color,horizon_minutes,sample_size,sample_status,success_rate,avg_mfe_atr,avg_mae_atr,avg_return_atr,median_return_atr
DOWN,RED,RED,GREEN,GREEN,15,3340,ADEQUATE,0.5329341317365269,2.3470843630416067,2.068891140316178,0.10657451859288036,0.0949168628614531
DOWN,RED,RED,GREEN,RED,15,3313,ADEQUATE,0.5360700271657108,2.5188944728072955,2.007599663081974,0.12575522338602702,-0.015113350125816313
UP,GREEN,RED,RED,GREEN,15,3302,ADEQUATE,0.5321017565112053,2.2487794457510963,2.008831951341602,0.12051174369685867,0.14589730123652817
DOWN,RED,GREEN,RED,RED,15,3227,ADEQUATE,0.5453982026650139,2.3730620044476125,1.9424316767453824,0.20321527015086138,0.16184971098250475
UP,GREEN,RED,GREEN,GREEN,15,2887,ADEQUATE,0.5167994457914791,2.3306915918196203,2.064382490899047,0.1373599078737625,-0.013351134846268285
UP,GREEN,RED,GREEN,RED,15,2824,ADEQUATE,0.5223087818696884,2.2604094059252775,2.160881149814564,0.05464615729045486,0.10929930325254122
UP,GREEN,GREEN,RED,GREEN,15,2759,ADEQUATE,0.5056179775280899,2.224539897293272,2.0588626552138445,0.08523521415045635,-0.025164769323116315
DOWN,RED,GREEN,RED,GREEN,15,2604,ADEQUATE,0.5499231950844854,2.3408102441867813,1.969820681588899,0.12204395641303618,0.1625381026022966
UP,RED,RED,RED,RED,15,1521,ADEQUATE,0.5272846811308349,2.2623303124725886,2.073978816312967,0.11694682741163656,0.09081081081086766
DOWN,GREEN,RED,RED,RED,15,1435,ADEQUATE,0.5317073170731708,2.4704976817233915,1.958829969089299,0.2034985720825557,0.03297220913813429
UP,RED,RED,RED,GREEN,15,1369,ADEQUATE,0.5434623813002192,2.238424500175194,2.0966236608102764,0.08706065721357464,0.16358325219131853
DOWN,GREEN,GREEN,GREEN,RED,15,1356,ADEQUATE,0.5730088495575221,2.4876533497644,1.8673927615893742,0.3187095964881013,0.35863747111512395
DOWN,GREEN,GREEN,GREEN,GREEN,15,1325,ADEQUATE,0.5509433962264151,2.360424518314065,1.9658362765105823,0.23592162483140736,0.35249042145595816
DOWN,GREEN,GREEN,RED,RED,15,1283,ADEQUATE,0.5650818394388153,2.4604419660650496,1.80777101146453,0.29107242638062814,0.16353775552759253
DOWN,GREEN,RED,RED,GREEN,15,1278,ADEQUATE,0.5406885758998435,2.458311415539235,2.019195275141026,0.20706290722721493,0.10177513441951136
UP,RED,GREEN,GREEN,GREEN,15,1200,ADEQUATE,0.4875,2.2044942674861563,2.125292812190787,-0.027802269161872905,-0.08028757376011068
UP,RED,GREEN,GREEN,RED,15,1183,ADEQUATE,0.5088757396449705,2.177264058395583,2.2161220540241504,-0.15525657493129752,-0.05396632176900591
UP,RED,GREEN,RED,RED,15,1156,ADEQUATE,0.5224913494809689,2.183923140866102,2.0057605746722684,0.13050559147332888,0.1222926706302941
UP,RED,RED,GREEN,GREEN,15,1132,ADEQUATE,0.5247349823321554,2.334509263121215,1.9997339050748728,0.12408113751818399,0.10721388252565509
UP,RED,RED,GREEN,RED,15,1098,ADEQUATE,0.5045537340619308,2.1432936390325996,2.291563315480313,-0.14834159247072673,-0.027144859453894762
DOWN,GREEN,RED,GREEN,GREEN,15,1072,ADEQUATE,0.5279850746268657,2.1566392955657805,2.0568509914685245,0.017429485614846446,-0.012738179163030737
DOWN,GREEN,GREEN,RED,GREEN,15,1008,ADEQUATE,0.5426587301587301,2.3874384867871123,2.024681792593307,0.12816685604385158,0.12293054114306351
DOWN,GREEN,RED,GREEN,RED,15,999,ADEQUATE,0.5315315315315315,2.404567894857229,2.005147932085721,0.10822899681024484,0.009067357513151792
UP,RED,GREEN,RED,GREEN,15,918,ADEQUATE,0.49455337690631807,2.242970844457491,2.1285785397517256,0.03961754571290319,0.03912474307526433
