M5_hour_brt,M15_market_state,H1_market_state,H4_market_state,M15_direction,H1_direction,H4_direction,anchor_tf,bars,avg_range_usd,avg_vol_ratio,h1_continue_pct,h1_pullback_pct,h1_avg_abs_ret_atr,h3_continue_pct,h3_pullback_pct,h3_avg_abs_ret_atr,h6_continue_pct,h6_pullback_pct,h6_avg_abs_ret_atr,h12_continue_pct,h12_pullback_pct,h12_avg_abs_ret_atr
16,NORMAL_FLOW,NORMAL_FLOW,NORMAL_FLOW,UP,UP,UP,M5,141,4.697872340425487,1.091183692491224,0.6382978723404256,0.950354609929078,0.6656855943073782,0.6737588652482269,0.950354609929078,1.1510076480727887,0.6312056737588653,0.950354609929078,1.6214274640754427,0.6666666666666666,0.9645390070921985,2.0651305014212817
11,EXPANSION,EXPANSION,EXPANSION,UP,UP,UP,M5,111,6.912072072072083,1.0491962000561386,0.5675675675675675,0.963963963963964,0.5655258195075517,0.5765765765765766,0.9819819819819819,0.8844859543976903,0.6936936936936937,0.9819819819819819,1.159891672055735,0.5855855855855856,0.9819819819819819,1.655353777028339
1,NORMAL_FLOW,NORMAL_FLOW,NORMAL_FLOW,UP,UP,UP,M5,111,4.138018018018028,1.0722771920224599,0.6936936936936937,0.963963963963964,0.524493685545801,0.7567567567567568,0.963963963963964,1.0731001376090383,0.7477477477477478,0.972972972972973,1.692942347315593,0.6486486486486487,0.972972972972973,1.8460448801136773
2,NORMAL_FLOW,NORMAL_FLOW,NORMAL_FLOW,UP,UP,UP,M5,108,3.657129629629569,1.0897065616879162,0.6018518518518519,0.9629629629629629,0.538615745452462,0.6481481481481481,0.9722222222222222,1.0079064511167903,0.6666666666666666,0.9722222222222222,1.4999223336738337,0.6388888888888888,0.9814814814814815,2.0422793842766263
0,NORMAL_FLOW,NORMAL_FLOW,NORMAL_FLOW,UP,UP,UP,M5,105,2.878000000000018,0.8830254385392388,0.5619047619047619,0.9714285714285714,0.4798638558858318,0.5904761904761905,0.9904761904761905,0.7292023862402965,0.5904761904761905,1.0,1.1079931868198074,0.6666666666666666,1.0,1.7035356380705493
0,NORMAL_FLOW,NORMAL_FLOW,NORMAL_FLOW,DOWN,DOWN,DOWN,M5,96,3.2564583333333132,0.8701287394906095,0.5729166666666666,0.9791666666666666,0.47705919281984954,0.4895833333333333,0.9895833333333334,0.7351080487636361,0.5833333333333334,0.9895833333333334,1.0961544725335444,0.5833333333333334,0.9895833333333334,1.7771080200514249
11,EXPANSION,EXPANSION,EXPANSION,DOWN,DOWN,DOWN,M5,96,22.318229166666644,1.241598200860019,0.6458333333333334,0.9895833333333334,0.863155596472895,0.65625,0.9895833333333334,1.6172842844633333,0.6875,0.9895833333333334,2.105207073966648,0.7083333333333334,0.9895833333333334,2.0735171969932154
23,SWEEP_OR_FALSE_BREAK,NORMAL_FLOW,NORMAL_FLOW,UP,UP,UP,M5,93,4.618602150537622,0.8415501336977647,0.5161290322580645,0.956989247311828,0.38924217537973105,0.5913978494623656,0.978494623655914,0.7726395981533233,0.4731182795698925,0.978494623655914,0.9252324065752926,0.5268817204301075,0.978494623655914,1.2994876741627186
22,SWEEP_OR_FALSE_BREAK,NORMAL_FLOW,SWEEP_OR_FALSE_BREAK,DOWN,DOWN,DOWN,M5,93,3.750107526881723,1.0249750064563075,0.3763440860215054,0.956989247311828,0.48043135093981804,0.4731182795698925,0.956989247311828,0.8177129276899259,0.5483870967741935,0.967741935483871,1.2602569189155257,0.5053763440860215,0.978494623655914,1.5644766733514133
19,SWEEP_OR_FALSE_BREAK,SWEEP_OR_FALSE_BREAK,SWEEP_OR_FALSE_BREAK,DOWN,DOWN,DOWN,M5,90,3.464111111111121,0.8350031091452366,0.5111111111111111,0.9222222222222223,0.558368606508744,0.4444444444444444,0.9555555555555556,0.7660015907898744,0.4888888888888889,0.9777777777777777,1.0194955614028978,0.4666666666666667,1.0,1.4307191005054527
23,NORMAL_FLOW,NORMAL_FLOW,NORMAL_FLOW,UP,UP,UP,M5,84,4.326190476190461,0.8193690861933789,0.6666666666666666,0.9761904761904762,0.4240690287274384,0.6309523809523809,0.9880952380952381,0.7419776055626245,0.6428571428571429,1.0,0.8848830188417305,0.7380952380952381,1.0,1.3955998024091671
16,NORMAL_FLOW,NORMAL_FLOW,NORMAL_FLOW,DOWN,DOWN,DOWN,M5,84,5.093333333333324,1.0573499907022634,0.6785714285714286,0.9761904761904762,0.5567670684392804,0.6071428571428571,0.9761904761904762,1.0337464088933235,0.5119047619047619,0.9761904761904762,1.2718353089962844,0.6071428571428571,0.9761904761904762,1.6141590933581824
22,ACCEPTED_BREAKOUT,NORMAL_FLOW,SWEEP_OR_FALSE_BREAK,DOWN,DOWN,DOWN,M5,84,4.312738095238068,1.1904805970243542,0.6071428571428571,0.9523809523809523,0.5214435708566393,0.5952380952380952,0.9642857142857143,1.0228042424008863,0.5595238095238095,0.9642857142857143,1.305826701576371,0.5595238095238095,0.9761904761904762,1.7867309936119657
10,EXPANSION,EXPANSION,EXPANSION,DOWN,DOWN,DOWN,M5,84,11.243809523809535,1.3760494198366295,0.5595238095238095,0.9880952380952381,0.8207234820127105,0.5476190476190477,0.9880952380952381,1.3655833297285587,0.5714285714285714,0.9880952380952381,1.8029233755882803,0.5,0.9880952380952381,2.151689741430271
3,NORMAL_FLOW,NORMAL_FLOW,NORMAL_FLOW,UP,UP,UP,M5,81,3.665802469135834,0.9916311573214328,0.5185185185185185,1.0,0.5674427858385634,0.5432098765432098,1.0,0.9309751677258745,0.6049382716049383,1.0,1.4756967791877236,0.691358024691358,1.0,2.5268649467537343
16,NORMAL_FLOW,NORMAL_FLOW,LOW_RANGE,UP,UP,UP,M5,81,2.834197530864166,1.0289941851580888,0.6172839506172839,0.9382716049382716,0.5789045779198267,0.5802469135802469,0.9629629629629629,0.8828570308027993,0.6172839506172839,0.9629629629629629,0.9382277976952045,0.654320987654321,0.9629629629629629,1.3713877725602848
15,SWEEP_OR_FALSE_BREAK,LOW_RANGE,LOW_RANGE,UP,UP,UP,M5,81,2.802592592592573,0.79339390181461,0.49382716049382713,1.0,0.3039778665912968,0.4444444444444444,1.0,0.5505060787774478,0.4444444444444444,1.0,0.7696724176794303,0.5185185185185185,1.0,1.090747604696618
2,SWEEP_OR_FALSE_BREAK,NORMAL_FLOW,NORMAL_FLOW,UP,UP,UP,M5,81,4.2106172839505716,1.1459205490556224,0.5802469135802469,0.9753086419753086,0.5998771024824335,0.5555555555555556,0.9876543209876543,1.2925368742471424,0.5308641975308642,1.0,1.5718318288109063,0.5555555555555556,1.0,1.9961856936755142
21,ACCEPTED_BREAKOUT,SWEEP_OR_FALSE_BREAK,SWEEP_OR_FALSE_BREAK,UP,UP,DOWN,M5,78,4.215128205128173,1.4096715097814434,0.5769230769230769,0.9615384615384616,0.7261404790711842,0.5,0.9615384615384616,1.4317439980769804,0.47435897435897434,0.9615384615384616,2.0101724717826435,0.38461538461538464,1.0,2.8568069862110352
19,NORMAL_FLOW,NORMAL_FLOW,SWEEP_OR_FALSE_BREAK,UP,UP,DOWN,M5,78,4.284871794871786,1.0912154461719936,0.6025641025641025,0.9358974358974359,0.5957726330660008,0.5769230769230769,0.9615384615384616,1.1451875179491289,0.6410256410256411,0.9615384615384616,1.5409221394776749,0.48717948717948717,0.9871794871794872,2.2193827460386473
