anchor_tf,hour_brt,market_state,vol_bucket,bars,avg_range_usd,avg_vol_ratio,breakout_pct,false_break_pct,h1_continue_pct,h1_pullback_pct,h1_avg_abs_ret_atr,h3_continue_pct,h3_pullback_pct,h3_avg_abs_ret_atr,h6_continue_pct,h6_pullback_pct,h6_avg_abs_ret_atr,h12_continue_pct,h12_pullback_pct,h12_avg_abs_ret_atr
M5,0,SWEEP_OR_FALSE_BREAK,LOW,852,2.8573708920187912,0.6553484127574037,0.09154929577464789,1.0,0.4953051643192488,0.9683098591549296,0.36284270084871373,0.4894366197183099,0.9823943661971831,0.6235639542541899,0.4823943661971831,0.9859154929577465,0.9252100151538505,0.47769953051643194,0.9882629107981221,1.4350821831828848
M5,0,NORMAL_FLOW,LOW,593,3.3239123102866817,0.6810361936311587,0.8077571669477235,0.0,0.4654300168634064,0.9747048903878583,0.39284560268429813,0.47048903878583476,0.9797639123102867,0.652599669216772,0.5008431703204047,0.9831365935919055,1.00149333542201,0.5059021922428331,0.9881956155143339,1.5541302977110811
M5,0,SWEEP_OR_FALSE_BREAK,NORMAL,551,3.6831578947368455,0.8911076827168776,0.14156079854809436,1.0,0.4827586206896552,0.9600725952813067,0.3792178770946256,0.5226860254083484,0.9764065335753176,0.6702772579209206,0.5263157894736842,0.9818511796733213,0.9589535367839853,0.4809437386569873,0.9836660617059891,1.4660915729846873
M5,0,NORMAL_FLOW,NORMAL,542,3.8211992619926494,0.8913541993006248,0.8450184501845018,0.0,0.514760147601476,0.9797047970479705,0.43929638925412956,0.466789667896679,0.9907749077490775,0.6738586173544954,0.4944649446494465,0.992619926199262,0.9949325093969037,0.503690036900369,0.9981549815498155,1.590964409747278
M5,0,LOW_RANGE,LOW,500,1.9933600000000125,0.627119147428428,0.5,0.0,0.508,0.976,0.35401795482733744,0.5,0.994,0.6421363522553525,0.49,0.994,0.9124835482672322,0.472,0.996,1.4370935350593776
M5,0,NORMAL_FLOW,HIGH,295,4.613728813559366,1.088049346426211,0.8440677966101695,0.0,0.5254237288135594,0.9593220338983051,0.4601667066676237,0.5220338983050847,0.976271186440678,0.7840961817467552,0.5186440677966102,0.9796610169491525,1.0575258101682936,0.5152542372881356,0.9864406779661017,1.5227752681557503
M5,0,SWEEP_OR_FALSE_BREAK,HIGH,271,3.9656457564575884,1.136364961603962,0.16974169741697417,1.0,0.4981549815498155,0.959409594095941,0.48769332329121223,0.5055350553505535,0.977859778597786,0.8442677423820549,0.4907749077490775,0.981549815498155,1.2334673302801302,0.5498154981549815,0.981549815498155,1.890052372945803
M5,0,COMPRESSION,LOW,208,2.8522115384615767,0.651232988057778,0.3798076923076923,0.5144230769230769,0.4519230769230769,0.9663461538461539,0.3927773946742859,0.4326923076923077,0.9807692307692307,0.7067685937587824,0.4567307692307692,0.9807692307692307,1.1412450208944973,0.4567307692307692,0.9903846153846154,2.160267875740795
M5,0,COMPRESSION,NORMAL,118,3.805084745762716,0.8930256877384145,0.5423728813559322,0.4322033898305085,0.5423728813559322,0.9915254237288136,0.39390408373737384,0.4491525423728814,0.9915254237288136,0.7612320885677607,0.4745762711864407,0.9915254237288136,0.9868509487373772,0.5169491525423728,0.9915254237288136,2.1156888293989287
M5,0,ACCEPTED_BREAKOUT,HIGH,107,4.240654205607456,1.305641776439743,1.0,0.0,0.5046728971962616,0.9906542056074766,0.5803592445825044,0.5794392523364486,1.0,0.9919644577155294,0.4953271028037383,1.0,1.3331965049557708,0.4766355140186916,1.0,1.717258335108447
