anchor_tf,hour_brt,time_slot,bars,avg_range_usd,median_range_usd,avg_abs_net_usd,avg_vol_ratio,up_pct,down_pct,breakout_up_pct,breakout_down_pct,false_break_pct,h1_continue_pct,h1_pullback_pct,h1_breakout_accept_pct,h1_breakout_reject_pct,h1_avg_ret_atr,h1_avg_abs_ret_atr,h3_continue_pct,h3_pullback_pct,h3_breakout_accept_pct,h3_breakout_reject_pct,h3_avg_ret_atr,h3_avg_abs_ret_atr,h6_continue_pct,h6_pullback_pct,h6_breakout_accept_pct,h6_breakout_reject_pct,h6_avg_ret_atr,h6_avg_abs_ret_atr,h12_continue_pct,h12_pullback_pct,h12_breakout_accept_pct,h12_breakout_reject_pct,h12_avg_ret_atr,h12_avg_abs_ret_atr
M5,0,00:00,364,4.02307692307694,3.2500000000004547,1.9098901098901169,0.876333174601409,0.4725274725274725,0.521978021978022,0.2087912087912088,0.26373626373626374,0.5054945054945055,0.49175824175824173,0.9642857142857143,0.18406593406593408,0.46153846153846156,0.013505281485058317,0.45111012331287864,0.49725274725274726,0.978021978021978,0.17857142857142858,0.4697802197802198,0.04036099159332719,0.6890434089432719,0.4807692307692308,0.9807692307692307,0.1565934065934066,0.4697802197802198,0.1361344412382237,0.9520573217607589,0.48626373626373626,0.9862637362637363,0.1813186813186813,0.4725274725274725,0.07468611402334495,1.355375928756852
M5,0,00:05,364,3.8446153846154036,3.175000000000182,1.9223076923076818,0.8386761963915426,0.532967032967033,0.4642857142857143,0.25,0.22802197802197802,0.4065934065934066,0.5521978021978022,0.9560439560439561,0.18406593406593408,0.45879120879120877,0.019736272879630624,0.39112704157466627,0.5164835164835165,0.9862637362637363,0.16483516483516483,0.4725274725274725,0.06948723511249998,0.6410649954963612,0.5054945054945055,0.9862637362637363,0.2087912087912088,0.4725274725274725,0.10309388442035329,0.9514277948951426,0.4697802197802198,0.989010989010989,0.21703296703296704,0.47527472527472525,0.07623302261466498,1.338766647351122
M5,0,00:10,364,3.625302197802218,2.8900000000001,1.7037912087912095,0.8322597311673364,0.5137362637362637,0.4807692307692308,0.2554945054945055,0.21428571428571427,0.4175824175824176,0.43956043956043955,0.9725274725274725,0.12362637362637363,0.45879120879120877,0.00785582968851791,0.4356391417692297,0.45879120879120877,0.9835164835164835,0.17032967032967034,0.46703296703296704,0.08539422505222133,0.6597268122359098,0.46703296703296704,0.989010989010989,0.17582417582417584,0.46703296703296704,0.14432638973613093,0.9833945359010826,0.510989010989011,0.989010989010989,0.19505494505494506,0.46703296703296704,0.08122151872641889,1.3385827163422155
M5,0,00:15,364,3.6825824175824278,2.7850000000003092,1.9059890109889803,0.8388147419872524,0.5247252747252747,0.4725274725274725,0.25,0.22252747252747251,0.45879120879120877,0.46703296703296704,0.9697802197802198,0.16483516483516483,0.46153846153846156,0.04374976406201108,0.3752294566645468,0.41208791208791207,0.9807692307692307,0.16483516483516483,0.4642857142857143,0.09769048882314542,0.7182694206513978,0.44505494505494503,0.9862637362637363,0.1978021978021978,0.4697802197802198,0.12259053891609079,1.0161539405886966,0.42857142857142855,0.9862637362637363,0.19230769230769232,0.4697802197802198,0.027916354988490075,1.4078174702165525
M5,0,00:20,364,3.438489010989015,2.7100000000000364,1.6272252747252796,0.8393695583505048,0.5384615384615384,0.45879120879120877,0.2802197802197802,0.20604395604395603,0.43131868131868134,0.521978021978022,0.967032967032967,0.1565934065934066,0.4697802197802198,0.03360881032233684,0.37497569290876687,0.510989010989011,0.9807692307692307,0.1978021978021978,0.47802197802197804,0.03519787113258448,0.7130235985193798,0.5274725274725275,0.9835164835164835,0.22802197802197802,0.47802197802197804,0.03914762692867389,0.9562158584497874,0.4945054945054945,0.9945054945054945,0.2032967032967033,0.48626373626373626,-0.007571195958659418,1.4420294705596461
M5,0,00:25,364,3.15467032967037,2.6399999999998727,1.503626373626359,0.8383000789918816,0.5082417582417582,0.489010989010989,0.2664835164835165,0.18956043956043955,0.4175824175824176,0.510989010989011,0.967032967032967,0.20604395604395603,0.43131868131868134,0.02007612266738816,0.44521696987181786,0.5247252747252747,0.9835164835164835,0.21153846153846154,0.4423076923076923,0.05689207838164458,0.6802047297264104,0.4807692307692308,0.9835164835164835,0.21978021978021978,0.4423076923076923,-0.06028391650963054,0.9512960833507402,0.4532967032967033,0.9917582417582418,0.20604395604395603,0.45054945054945056,-0.042886413993337875,1.5039701270399877
M5,0,00:30,364,3.4355219780219635,2.805000000000291,1.729780219780222,0.8363785080299753,0.49725274725274726,0.49725274725274726,0.2802197802197802,0.260989010989011,0.4258241758241758,0.49725274725274726,0.967032967032967,0.18956043956043955,0.5247252747252747,-0.018618241398015555,0.4002757147165076,0.5247252747252747,0.9835164835164835,0.23351648351648352,0.5357142857142857,0.024191469852169693,0.6701433356130293,0.510989010989011,0.9862637362637363,0.24725274725274726,0.5384615384615384,-0.07172770565408859,0.937944791181629,0.4725274725274725,0.9945054945054945,0.25824175824175827,0.5412087912087912,-0.06141001963491644,1.6501526760513043
M5,0,00:35,364,3.265769230769274,2.600000000000364,1.6359340659340647,0.7928275069476234,0.5247252747252747,0.4725274725274725,0.23626373626373626,0.23626373626373626,0.4368131868131868,0.42032967032967034,0.9835164835164835,0.15934065934065933,0.4697802197802198,0.05579353598177993,0.39904207878610665,0.47527472527472525,0.9835164835164835,0.17032967032967034,0.4697802197802198,0.005731529767273013,0.6591088363274876,0.48626373626373626,0.989010989010989,0.18956043956043955,0.4725274725274725,-0.034063483794485316,0.9725291978814937,0.5384615384615384,0.989010989010989,0.23901098901098902,0.4725274725274725,-0.006433097132755869,1.6364758507240453
M5,0,00:40,364,3.2031868131868197,2.5300000000002,1.6278571428571516,0.790334410196587,0.5274725274725275,0.4725274725274725,0.25824175824175827,0.1978021978021978,0.41208791208791207,0.5521978021978022,0.9807692307692307,0.18406593406593408,0.4532967032967033,-0.010718216577249895,0.4000656182117005,0.5054945054945055,0.989010989010989,0.1813186813186813,0.45604395604395603,-0.11814418081833798,0.6473975346546542,0.5137362637362637,0.9917582417582418,0.19505494505494506,0.45604395604395603,-0.06177172740257169,0.9936060838981768,0.5054945054945055,0.9945054945054945,0.23351648351648352,0.45604395604395603,-0.042906848935121214,1.6795098302264915
M5,0,00:45,364,3.113104395604402,2.5249999999998636,1.5168406593406585,0.825489455171343,0.4807692307692308,0.5192307692307693,0.2554945054945055,0.24175824175824176,0.41483516483516486,0.489010989010989,0.978021978021978,0.17032967032967034,0.489010989010989,-0.040649598792705854,0.36204497657988505,0.4697802197802198,0.989010989010989,0.16758241758241757,0.4945054945054945,-0.09828902219092918,0.6768118897297638,0.5274725274725275,0.9917582417582418,0.21428571428571427,0.4945054945054945,-0.09870757847151587,1.0231479926383134,0.5137362637362637,0.9945054945054945,0.25274725274725274,0.4945054945054945,0.012970051779226315,1.7597521458246412
