anchor_tf,candle_dna,bars,avg_range_usd,avg_vol_ratio,up_pct,breakout_pct,h1_continue_pct,h1_pullback_pct,h1_avg_abs_ret_atr,h3_continue_pct,h3_pullback_pct,h3_avg_abs_ret_atr,h6_continue_pct,h6_pullback_pct,h6_avg_abs_ret_atr,h12_continue_pct,h12_pullback_pct,h12_avg_abs_ret_atr
M5,UP|R:NORMAL|B:SMALL|V:NORMAL|C:CLOSE_HIGH|S:NORMAL_FLOW,1386,3.888636363636368,0.8947343248337869,1.0,0.7929292929292929,0.49134199134199136,0.9704184704184704,0.4699280950762439,0.5108225108225108,0.9790764790764791,0.8245901868000737,0.5252525252525253,0.9834054834054834,1.1284657640688422,0.5310245310245311,0.9862914862914863,1.6362310091287162
M5,UP|R:NORMAL|B:SMALL|V:LOW|C:CLOSE_HIGH|S:NORMAL_FLOW,1228,3.6047394136807926,0.6818903557980182,1.0,0.8184039087947883,0.497557003257329,0.9723127035830619,0.39670275582803327,0.495114006514658,0.9837133550488599,0.7451871632770288,0.506514657980456,0.990228013029316,1.0515233623013325,0.4820846905537459,0.992671009771987,1.5670261622811499
M5,DOWN|R:NORMAL|B:SMALL|V:NORMAL|C:CLOSE_LOW|S:NORMAL_FLOW,1090,3.7886605504587134,0.8955818551639237,0.0,0.7412844036697248,0.48807339449541287,0.9761467889908257,0.4701118142100752,0.4614678899082569,0.9825688073394495,0.8573256089587218,0.4981651376146789,0.9871559633027523,1.2558150046645655,0.47706422018348627,0.9908256880733946,1.7796395293668528
M5,DOWN|R:NORMAL|B:SMALL|V:LOW|C:CLOSE_LOW|S:NORMAL_FLOW,1024,3.2072265624999945,0.6799706518385693,0.0,0.7568359375,0.46875,0.974609375,0.41885840169571614,0.49609375,0.986328125,0.7369024880789636,0.4814453125,0.9921875,1.0885117824044326,0.486328125,0.9931640625,1.5838821561844205
M5,UP|R:NORMAL|B:MEDIUM|V:NORMAL|C:CLOSE_HIGH|S:NORMAL_FLOW,955,4.320261780104713,0.8935654821378475,1.0,0.8879581151832461,0.46701570680628274,0.9863874345549738,0.4319707347964169,0.4701570680628272,0.9926701570680628,0.7789164973981153,0.4952879581151832,0.9958115183246073,1.0916043043761559,0.5078534031413613,1.0,1.5939570726625756
M5,DOWN|R:NORMAL|B:SMALL|V:NORMAL|C:CLOSE_LOW|S:SWEEP_OR_FALSE_BREAK,869,4.026087456846935,0.8956096157128351,0.0,0.142692750287687,0.44649021864211735,0.9792865362485615,0.4390546340896472,0.46375143843498273,0.9873417721518988,0.786485848559785,0.44994246260069043,0.9907940161104718,1.1857894225552628,0.4533947065592635,0.9942462600690449,1.6733223923946274
M5,UP|R:NORMAL|B:SMALL|V:NORMAL|C:HIGH_MID|S:NORMAL_FLOW,826,4.104382566585957,0.8913562982122218,1.0,0.774818401937046,0.49031476997578693,0.9673123486682809,0.45409159915812325,0.5072639225181598,0.9842615012106537,0.8285901023680531,0.5326876513317191,0.9891041162227603,1.1530688961417113,0.5338983050847458,0.9927360774818402,1.6237561464913581
M5,UP|R:NORMAL|B:SMALL|V:NORMAL|C:CLOSE_HIGH|S:SWEEP_OR_FALSE_BREAK,819,4.1990842490842395,0.8928477431171309,1.0,0.1746031746031746,0.4884004884004884,0.9743589743589743,0.43003205653140614,0.4713064713064713,0.9902319902319903,0.804648270132582,0.5042735042735043,0.9914529914529915,1.1326570875205768,0.49694749694749696,0.9938949938949939,1.6728965378418363
M5,UP|R:NORMAL|B:MEDIUM|V:LOW|C:CLOSE_HIGH|S:NORMAL_FLOW,793,4.142370744010095,0.6857585537791338,1.0,0.9029003783102144,0.5006305170239597,0.9760403530895334,0.44911186575640805,0.48675914249684743,0.9848675914249685,0.7742582039063299,0.5157629255989912,0.987389659520807,1.176262819684828,0.519546027742749,0.9886506935687264,1.6980642173844978
M5,UP|R:NORMAL|B:SMALL|V:HIGH|C:CLOSE_HIGH|S:NORMAL_FLOW,774,3.8148191214470297,1.109406977728376,1.0,0.6627906976744186,0.458656330749354,0.9780361757105943,0.5238028803240525,0.4974160206718346,0.9857881136950905,0.9465443138517634,0.5,0.9948320413436692,1.3664704295514802,0.49612403100775193,0.9974160206718347,1.9414240180369953
