dna_type,sequence_dna,bars,avg_energy,avg_range_atr,avg_vol_ratio,avg_dir_streak,avg_range_sum_5_atr,avg_energy_mean_5,continuation_h3,continuation_h6,pullback_0p50_h6,reach_1atr_h12,rr_tp,rr_sl,rr_edge,buy_tp,buy_sl,buy_edge,sell_tp,sell_sl,sell_edge,best_side,best_edge,edge_gap,sequence_score,sequence_guidance
sequence_dna_macro,regime=NORMAL_SEQUENCE|event=FALSE_BREAK|state=SWEEP_OR_FALSE_BREAK|align=FULL/UP|htf=MIXED_LOCATION,689,43.88383232379092,0.9332069459884623,1.0191607604762205,1.4238026124818577,4.821783778508165,46.52829007464396,0.8969521044992743,0.9521044992743106,0.2946298984034833,0.9985486211901307,0.7445573294629898,0.22931785195936139,0.5152394775036284,0.7445573294629898,0.22931785195936139,0.5152394775036284,0.03483309143686502,0.9579100145137881,-0.9230769230769231,BUY,0.5152394775036284,1.4383164005805515,0.818722786647315,BUY: sequência forte; buscar confirmação de entrada
sequence_dna_macro,regime=EXPANSION_CHAIN|event=FALSE_BREAK|state=SWEEP_OR_FALSE_BREAK|align=FULL/DOWN|htf=MIXED_LOCATION,192,45.36031988575922,0.7703885548630364,0.9060500351541824,-1.4114583333333333,4.701858957640665,54.83284886519965,0.9166666666666666,0.921875,0.23958333333333334,0.9895833333333334,0.8020833333333334,0.1875,0.6145833333333334,0.036458333333333336,0.9635416666666666,-0.9270833333333333,0.8020833333333334,0.1875,0.6145833333333334,SELL,0.6145833333333334,1.5416666666666665,0.8160041666666668,SELL: sequência forte; buscar confirmação de entrada
sequence_dna_macro,regime=NORMAL_SEQUENCE|event=FALSE_BREAK|state=SWEEP_OR_FALSE_BREAK|align=FULL/DOWN|htf=MIXED_LOCATION,774,43.13919563868869,0.918888294124542,1.0004271363646269,-1.417312661498708,4.782017473492914,45.986420799917184,0.872093023255814,0.9276485788113695,0.29328165374677,0.9909560723514211,0.7454780361757106,0.2364341085271318,0.5090439276485789,0.027131782945736434,0.9664082687338501,-0.9392764857881136,0.7454780361757106,0.2364341085271318,0.5090439276485789,SELL,0.5090439276485789,1.4483204134366925,0.8147932816537468,SELL: sequência forte; buscar confirmação de entrada
sequence_dna_macro,regime=BREAKOUT_AFTER_SWEEP|event=BREAKOUT|state=NORMAL_FLOW|align=FULL/DOWN|htf=MIXED_LOCATION,516,51.49018027534104,1.0456497680778811,0.9283701224786899,-2.005813953488372,4.506607045927174,43.9079042033693,0.8817829457364341,0.9418604651162791,0.32751937984496127,0.998062015503876,0.7248062015503876,0.25775193798449614,0.4670542635658914,0.044573643410852716,0.9496124031007752,-0.9050387596899225,0.7248062015503876,0.25775193798449614,0.4670542635658914,SELL,0.4670542635658914,1.372093023255814,0.7825581395348836,SELL: sequência forte; buscar confirmação de entrada
sequence_dna_macro,regime=BREAKOUT_AFTER_SWEEP|event=BREAKOUT|state=NORMAL_FLOW|align=FULL/UP|htf=MIXED_LOCATION,518,49.81871040093361,1.018062575538207,0.9072818226341336,2.16023166023166,4.581352861323749,44.02620668769139,0.8822393822393823,0.9594594594594594,0.30115830115830117,0.9980694980694981,0.7277992277992278,0.2644787644787645,0.4633204633204633,0.7277992277992278,0.2644787644787645,0.4633204633204633,0.05405405405405406,0.9382239382239382,-0.8841698841698842,BUY,0.4633204633204633,1.3474903474903475,0.782046332046332,BUY: sequência forte; buscar confirmação de entrada
sequence_dna_macro,regime=BREAKOUT_AFTER_COMPRESSION|event=BREAKOUT|state=COMPRESSION|align=FULL/DOWN|htf=MIXED_LOCATION,134,60.57814872457186,1.1420758338487775,1.1564892407416176,-2.0,4.52694469198033,48.26010821531873,0.8955223880597015,0.917910447761194,0.35074626865671643,1.0,0.7686567164179104,0.20149253731343283,0.5671641791044776,0.05970149253731343,0.9253731343283582,-0.8656716417910448,0.7686567164179104,0.20149253731343283,0.5671641791044776,SELL,0.5671641791044776,1.4328358208955225,0.7510537313432836,SELL: sequência forte; buscar confirmação de entrada
sequence_dna_macro,regime=EXPANSION_CHAIN|event=FALSE_BREAK|state=SWEEP_OR_FALSE_BREAK|align=FULL/UP|htf=MIXED_LOCATION,132,46.63067480181211,0.7689772878899539,0.927195434182493,1.4242424242424243,4.787047992830239,56.8171165470221,0.9090909090909091,0.9772727272727273,0.2803030303030303,1.0,0.7348484848484849,0.25,0.48484848484848486,0.7348484848484849,0.25,0.48484848484848486,0.022727272727272728,0.9621212121212122,-0.9393939393939394,BUY,0.48484848484848486,1.4242424242424243,0.7366272727272728,BUY: sequência forte; buscar confirmação de entrada
sequence_dna_macro,regime=BREAKOUT_AFTER_EXPANSION_CHAIN|event=BREAKOUT|state=EXPANSION|align=FULL/UP|htf=MIXED_LOCATION,181,78.54789890608065,1.4504323423281904,1.2784341715840073,2.226519337016575,5.848336400061447,67.4005484318252,0.9337016574585635,0.9723756906077348,0.2983425414364641,0.994475138121547,0.7182320441988951,0.23756906077348067,0.4806629834254144,0.7182320441988951,0.23756906077348067,0.4806629834254144,0.0718232044198895,0.9226519337016574,-0.8508287292817679,BUY,0.4806629834254144,1.3314917127071824,0.7221116022099449,BUY: sequência forte; buscar confirmação de entrada
sequence_dna_macro,regime=BREAKOUT_AFTER_COMPRESSION|event=BREAKOUT|state=COMPRESSION|align=FULL/UP|htf=MIXED_LOCATION,138,57.72857987524487,1.0784588969588298,1.075275323505782,1.8840579710144927,4.3139018486847185,46.44802467331491,0.8985507246376812,0.9492753623188406,0.3188405797101449,1.0,0.7028985507246377,0.26811594202898553,0.43478260869565216,0.7028985507246377,0.26811594202898553,0.43478260869565216,0.043478260869565216,0.9492753623188406,-0.9057971014492754,BUY,0.43478260869565216,1.3405797101449275,0.6949913043478262,BUY: sequência forte; buscar confirmação de entrada
sequence_dna_macro,regime=NORMAL_SEQUENCE|event=NONE|state=NORMAL_FLOW|align=FULL/UP|htf=MIXED_LOCATION,147,45.13300309565906,0.8690688065689575,1.025418320034619,1.3945578231292517,5.262087937143896,51.06345564813668,0.8979591836734694,0.9523809523809523,0.35374149659863946,0.9863945578231292,0.6938775510204082,0.2857142857142857,0.40816326530612246,0.6938775510204082,0.2857142857142857,0.40816326530612246,0.04081632653061224,0.9591836734693877,-0.9183673469387754,BUY,0.40816326530612246,1.3265306122448979,0.6770190476190476,BUY: sequência forte; buscar confirmação de entrada
sequence_dna_macro,regime=BREAKOUT_AFTER_SWEEP|event=BREAKOUT|state=SWEEP_OR_FALSE_BREAK|align=FULL/UP|htf=MIXED_LOCATION,141,64.23570724385635,1.4418208837810162,1.2080699862038704,1.4680851063829787,4.9632164537145815,47.80351375336007,0.8652482269503546,0.9645390070921985,0.3404255319148936,1.0,0.6808510638297872,0.2624113475177305,0.41843971631205673,0.6808510638297872,0.2624113475177305,0.41843971631205673,0.07801418439716312,0.900709219858156,-0.8226950354609929,BUY,0.41843971631205673,1.2411347517730495,0.6682709219858156,BUY: sequência forte; buscar confirmação de entrada
