dna_type,state_dna,bars,first_seen,last_seen,avg_energy,avg_range_atr,avg_vol_ratio,continuation_h3,continuation_h6,continuation_h12,pullback_0p50_h6,reach_0p50_h12,reach_1atr_h12,rr_tp,rr_sl,rr_edge,buy_tp,buy_sl,buy_edge,sell_tp,sell_sl,sell_edge,buy_minus_sell_edge,state_bias,state_quality_score,state_playbook
state_dna_macro,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=FULL/DOWN|level=AT_RESISTANCE|event=FALSE_BREAK,275,2025-01-27 22:45:00,2026-06-24 06:50:00,29.356937369838402,0.6725829462892362,0.8220501067253159,0.8036363636363636,0.7781818181818182,0.7890909090909091,0.36363636363636365,0.96,0.8654545454545455,0.6945454545454546,0.29454545454545455,0.4,0.06545454545454546,0.9272727272727272,-0.8618181818181818,0.6945454545454546,0.29454545454545455,0.4,-1.2618181818181817,SELL_BIAS,0.5439545454545455,viés vendedor; priorizar venda após confirmação/pullback
state_dna_macro,state=SWEEP_OR_FALSE_BREAK|energy=VERY_LOW|align=FULL/DOWN|level=AT_RESISTANCE|event=FALSE_BREAK,130,2025-02-07 15:25:00,2026-06-23 01:40:00,14.640822535757383,0.520389030981377,0.6265465604973466,0.823076923076923,0.8307692307692308,0.7538461538461538,0.3384615384615385,0.9538461538461539,0.8923076923076924,0.7076923076923077,0.27692307692307694,0.4307692307692308,0.08461538461538462,0.9076923076923077,-0.823076923076923,0.7076923076923077,0.27692307692307694,0.4307692307692308,-1.2538461538461538,SELL_BIAS,0.5243846153846154,viés vendedor; priorizar venda após confirmação/pullback
state_dna_macro,state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|align=FULL/DOWN|level=AT_RESISTANCE|event=FALSE_BREAK,187,2025-01-29 03:30:00,2026-06-22 07:25:00,48.20898434216576,0.8980645795181975,1.0803376731121226,0.8074866310160428,0.7967914438502673,0.7967914438502673,0.3689839572192513,0.9786096256684492,0.9144385026737968,0.6737967914438503,0.29411764705882354,0.37967914438502676,0.06951871657754011,0.9144385026737968,-0.8449197860962567,0.6737967914438503,0.29411764705882354,0.37967914438502676,-1.2245989304812834,SELL_BIAS,0.5205385026737968,viés vendedor; priorizar venda após confirmação/pullback
state_dna_macro,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=FULL/UP|level=AT_SUPPORT|event=FALSE_BREAK,220,2025-01-28 00:00:00,2026-06-25 01:15:00,30.123163720130613,0.6882530108588604,0.8320471080672136,0.7954545454545454,0.8090909090909091,0.7772727272727272,0.41818181818181815,0.9772727272727273,0.8909090909090909,0.6,0.37272727272727274,0.22727272727272724,0.6,0.37272727272727274,0.22727272727272724,0.08181818181818182,0.9136363636363637,-0.8318181818181819,1.059090909090909,BUY_BIAS,0.4655454545454545,viés comprador; priorizar compra após confirmação/pullback
state_dna_macro,state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|align=FULL/DOWN|level=NEAR_RESISTANCE|event=FALSE_BREAK,191,2025-01-27 22:20:00,2026-06-23 21:30:00,50.26732252251288,0.9157418200420238,1.0238858553944596,0.7225130890052356,0.7277486910994765,0.774869109947644,0.47643979057591623,0.9528795811518325,0.8848167539267016,0.643979057591623,0.3507853403141361,0.2931937172774869,0.10471204188481675,0.8952879581151832,-0.7905759162303665,0.643979057591623,0.3507853403141361,0.2931937172774869,-1.0837696335078535,SELL_BIAS,0.4536350785340314,viés vendedor; priorizar venda após confirmação/pullback
state_dna_macro,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=FULL/DOWN|level=AT_SUPPORT|event=FALSE_BREAK,724,2025-01-28 23:30:00,2026-06-24 19:10:00,31.022950750021117,0.7033634291747519,0.8064695541689241,0.669889502762431,0.6837016574585635,0.7044198895027625,0.5248618784530387,0.9378453038674033,0.8232044198895028,0.5428176795580111,0.44060773480662985,0.10220994475138123,0.14226519337016574,0.850828729281768,-0.7085635359116023,0.5428176795580111,0.44060773480662985,0.10220994475138123,-0.8107734806629835,SELL_BIAS,0.445096685082873,viés vendedor; priorizar venda após confirmação/pullback
state_dna_macro,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=FULL/UP|level=AT_RESISTANCE|event=FALSE_BREAK,1169,2025-01-28 00:20:00,2026-06-25 14:40:00,30.770485237605275,0.6743552200744287,0.814729111827459,0.6877673224978614,0.7305389221556886,0.7125748502994012,0.49016253207869975,0.9289991445680068,0.7946963216424294,0.5243798118049615,0.46107784431137727,0.06330196749358424,0.5243798118049615,0.46107784431137727,0.06330196749358424,0.15226689478186484,0.8417450812660393,-0.6894781864841745,0.7527801539777588,BUY_BIAS,0.4360992301112062,viés comprador; priorizar compra após confirmação/pullback
state_dna_macro,state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|align=FULL/DOWN|level=AT_SUPPORT|event=FALSE_BREAK,928,2025-01-27 22:25:00,2026-06-24 19:05:00,49.76022867025071,0.9274690803123733,1.031327079503254,0.6519396551724138,0.6810344827586207,0.6950431034482759,0.5700431034482759,0.9515086206896551,0.8243534482758621,0.5075431034482759,0.46336206896551724,0.044181034482758674,0.11422413793103449,0.8771551724137931,-0.7629310344827587,0.5075431034482759,0.46336206896551724,0.044181034482758674,-0.8071120689655173,SELL_BIAS,0.4232758620689656,viés vendedor; priorizar venda após confirmação/pullback
state_dna_macro,state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|align=FULL/UP|level=AT_RESISTANCE|event=FALSE_BREAK,1087,2025-01-28 05:00:00,2026-06-25 14:25:00,49.38262831475238,0.8989083260748426,1.02264896752251,0.703771849126035,0.702851885924563,0.7148114075436982,0.5390984360625575,0.9319227230910764,0.8141674333026679,0.5087396504139834,0.46458141674333026,0.044158233670653135,0.5087396504139834,0.46458141674333026,0.044158233670653135,0.15271389144434222,0.8316467341306347,-0.6789328426862925,0.7230910763569456,BUY_BIAS,0.42074517019319235,viés comprador; priorizar compra após confirmação/pullback
state_dna_macro,state=SWEEP_OR_FALSE_BREAK|energy=HIGH|align=FULL/UP|level=AT_RESISTANCE|event=FALSE_BREAK,406,2025-01-28 22:30:00,2026-06-25 09:50:00,67.34699958673984,1.2027785587204602,1.311453013642163,0.7044334975369458,0.7438423645320197,0.7536945812807881,0.5640394088669951,0.9458128078817734,0.8719211822660099,0.5147783251231527,0.458128078817734,0.056650246305418706,0.5147783251231527,0.458128078817734,0.056650246305418706,0.1354679802955665,0.8448275862068966,-0.7093596059113301,0.7660098522167488,BUY_BIAS,0.4139182266009853,viés comprador; priorizar compra após confirmação/pullback
state_dna_macro,state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|align=FULL/UP|level=AT_SUPPORT|event=FALSE_BREAK,128,2025-02-03 21:55:00,2026-06-22 02:45:00,49.54691648173265,0.9356179999951384,1.0965287534320458,0.7890625,0.796875,0.75,0.4609375,0.96875,0.859375,0.578125,0.3828125,0.1953125,0.578125,0.3828125,0.1953125,0.078125,0.9140625,-0.8359375,1.03125,BUY_BIAS,0.41261875,viés comprador; priorizar compra após confirmação/pullback
