state_dna_macro,next_state,anchor_market_state,next_market_state,event_group,next_event_group,count,state_total,transition_pct
state=ACCEPTED_BREAKOUT|energy=EXTREME|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,state=ACCEPTED_BREAKOUT|energy=HIGH|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,ACCEPTED_BREAKOUT,ACCEPTED_BREAKOUT,BREAKOUT,BREAKOUT,42,378,0.1111111111111111
state=NORMAL_FLOW|energy=MEDIUM|align=FULL/UP|level=NEAR_RESISTANCE|event=BREAKOUT,state=NORMAL_FLOW|energy=MEDIUM|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,NORMAL_FLOW,NORMAL_FLOW,BREAKOUT,BREAKOUT,52,477,0.1090146750524109
state=SWEEP_OR_FALSE_BREAK|energy=HIGH|align=FULL/UP|level=AT_RESISTANCE|event=FALSE_BREAK,state=ACCEPTED_BREAKOUT|energy=HIGH|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,SWEEP_OR_FALSE_BREAK,ACCEPTED_BREAKOUT,FALSE_BREAK,BREAKOUT,43,406,0.10591133004926108
state=LOW_RANGE|energy=LOW|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=MIXED/UP|level=AT_RESISTANCE|event=FALSE_BREAK,LOW_RANGE,SWEEP_OR_FALSE_BREAK,BREAKOUT,FALSE_BREAK,48,472,0.1016949152542373
state=NORMAL_FLOW|energy=LOW|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,state=NORMAL_FLOW|energy=MEDIUM|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,NORMAL_FLOW,NORMAL_FLOW,BREAKOUT,BREAKOUT,103,1017,0.10127826941986234
state=SWEEP_OR_FALSE_BREAK|energy=MEDIUM|align=FULL/UP|level=AT_RESISTANCE|event=FALSE_BREAK,state=NORMAL_FLOW|energy=MEDIUM|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,SWEEP_OR_FALSE_BREAK,NORMAL_FLOW,FALSE_BREAK,BREAKOUT,109,1087,0.10027598896044158
state=EXPANSION|energy=HIGH|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,state=EXPANSION|energy=EXTREME|align=FULL/DOWN|level=AT_SUPPORT|event=BREAKOUT,EXPANSION,EXPANSION,BREAKOUT,BREAKOUT,44,448,0.09821428571428571
state=LOW_RANGE|energy=LOW|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,state=NORMAL_FLOW|energy=MEDIUM|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,LOW_RANGE,NORMAL_FLOW,BREAKOUT,BREAKOUT,46,472,0.09745762711864407
state=SWEEP_OR_FALSE_BREAK|energy=LOW|align=FULL/UP|level=AT_RESISTANCE|event=FALSE_BREAK,state=NORMAL_FLOW|energy=MEDIUM|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,SWEEP_OR_FALSE_BREAK,NORMAL_FLOW,FALSE_BREAK,BREAKOUT,111,1169,0.0949529512403764
state=NORMAL_FLOW|energy=HIGH|align=FULL/UP|level=NEAR_RESISTANCE|event=BREAKOUT,state=NORMAL_FLOW|energy=MEDIUM|align=FULL/UP|level=AT_RESISTANCE|event=BREAKOUT,NORMAL_FLOW,NORMAL_FLOW,BREAKOUT,BREAKOUT,30,316,0.0949367088607595
