side,break_mode,same_color_sample,opposite_color_sample,success_lift_10,return_lift_10_atr,mae_reduction_10_atr,false_break_reduction
BUY,CLOSE_BREAK,404,144,-0.010382288228822922,0.08790050962992335,-0.1218953912809333,0.02523377337733773
BUY,WICK_ONLY,334,147,0.034420954010346616,0.29047767603092567,0.21671539235099635,-0.03179355574565157
SELL,CLOSE_BREAK,432,165,-0.04898989898989903,-0.12429948134236495,-0.05049088796099821,-0.026936026936026924
SELL,WICK_ONLY,406,157,-0.03172162781211757,-0.08339017854679187,-0.05095292772654991,-0.0825358476357817
