side,retest_state,sample_size,share_of_accepted,avg_retest_delay_candles,breakout_success_rate_3,breakout_avg_return_3_atr,retest_success_rate_3,retest_avg_return_3_atr,breakout_success_rate_5,breakout_avg_return_5_atr,retest_success_rate_5,retest_avg_return_5_atr,breakout_success_rate_10,breakout_avg_return_10_atr,retest_success_rate_10,retest_avg_return_10_atr
BUY,NO_RETEST,88,0.14666666666666667,,0.875,1.2904431323679866,,,0.9204545454545454,1.7828805874054685,,,0.9659090909090909,2.289695419546043,,
BUY,RETEST_AMBIGUOUS,39,0.065,1.8974358974358974,0.20512820512820512,-0.31923994967368646,,,0.28205128205128205,-0.2693350990773848,,,0.3333333333333333,-0.91523630941114,,
BUY,RETEST_FAILED,196,0.32666666666666666,1.6020408163265305,0.1989795918367347,-0.7707426504109018,,,0.24489795918367346,-0.9237269106153101,,,0.3010204081632653,-0.9079444904232793,,
BUY,RETEST_HELD,277,0.46166666666666667,1.7581227436823104,0.5848375451263538,0.2675485810894027,0.516245487364621,0.04352559874862466,0.5776173285198556,0.1364547062356446,0.4981949458483754,0.007121565815245105,0.5018050541516246,0.15857971289600722,0.44765342960288806,0.10679302548409307
SELL,NO_RETEST,106,0.16358024691358025,,0.9056603773584906,0.9094155105980849,,,0.9150943396226415,1.1912564857054821,,,0.9245283018867925,1.0846507637998755,,
SELL,RETEST_AMBIGUOUS,57,0.08796296296296297,1.5964912280701755,0.3508771929824561,-0.2270711922163457,,,0.3508771929824561,-0.4924616046856722,,,0.2807017543859649,-0.921359651208716,,
SELL,RETEST_FAILED,170,0.2623456790123457,1.6352941176470588,0.17058823529411765,-0.7214210906717919,,,0.20588235294117646,-0.7417783923735529,,,0.23529411764705882,-0.911835747790423,,
SELL,RETEST_HELD,315,0.4861111111111111,1.7714285714285714,0.5650793650793651,0.15023159032336397,0.49523809523809526,-0.018846633418767786,0.5777777777777777,0.051796727861508705,0.49206349206349204,-0.04729481356034073,0.5111111111111111,-0.05916459862190022,0.4666666666666667,-0.08058802755262673
