side,sample_size,breakout_success_rate_10,retest_success_rate_10,success_lift_10,breakout_avg_return_10_atr,retest_avg_return_10_atr,return_lift_10_atr
BUY,277,0.5018050541516246,0.44765342960288806,-0.05415162454873651,0.15857971289600722,0.10679302548409307,-0.051786687411914153
SELL,315,0.5111111111111111,0.4666666666666667,-0.0444444444444444,-0.05916459862190022,-0.08058802755262673,-0.02142342893072651
