rank,config_id,hour,trades,win_rate,net_points,profit_factor,avg_points,wins,losses
6,5-33-95|s1.0|t0.8|h30|required,16,4,1.0,3.23135,999.0,0.80784,4,0
6,5-33-95|s1.0|t0.8|h30|required,17,3,1.0,1.58301,999.0,0.52767,3,0
6,5-33-95|s1.0|t0.8|h30|required,21,1,1.0,2.32645,999.0,2.32645,1,0
6,5-33-95|s1.0|t0.8|h30|required,22,10,0.7,8.82783,1.748264,0.88278,7,3
7,7-36-97|s1.0|t0.8|h10|warning_only,1,1,0.0,-1.72093,0.0,-1.72093,0,1
7,7-36-97|s1.0|t0.8|h10|warning_only,2,6,0.833333,6.23422,4.28409,1.03904,5,1
7,7-36-97|s1.0|t0.8|h10|warning_only,3,1,1.0,1.63172,999.0,1.63172,1,0
7,7-36-97|s1.0|t0.8|h10|warning_only,4,4,1.0,5.78327,999.0,1.44582,4,0
7,7-36-97|s1.0|t0.8|h10|warning_only,5,1,1.0,1.38615,999.0,1.38615,1,0
7,7-36-97|s1.0|t0.8|h10|warning_only,7,1,1.0,1.25161,999.0,1.25161,1,0
7,7-36-97|s1.0|t0.8|h10|warning_only,8,1,0.0,-1.17657,0.0,-1.17657,0,1
7,7-36-97|s1.0|t0.8|h10|warning_only,9,1,1.0,1.20349,999.0,1.20349,1,0
7,7-36-97|s1.0|t0.8|h10|warning_only,14,1,1.0,1.08051,999.0,1.08051,1,0
7,7-36-97|s1.0|t0.8|h10|warning_only,16,1,1.0,0.76795,999.0,0.76795,1,0
7,7-36-97|s1.0|t0.8|h10|warning_only,17,2,1.0,1.10811,999.0,0.55405,2,0
7,7-36-97|s1.0|t0.8|h10|warning_only,21,1,1.0,2.32645,999.0,2.32645,1,0
7,7-36-97|s1.0|t0.8|h10|warning_only,22,9,0.777778,12.93261,2.681095,1.43696,7,2
7,7-36-97|s1.0|t0.8|h10|warning_only,23,1,1.0,2.11348,999.0,2.11348,1,0
8,7-36-97|s1.0|t0.8|h30|warning_only,1,1,0.0,-1.72093,0.0,-1.72093,0,1
8,7-36-97|s1.0|t0.8|h30|warning_only,2,6,0.833333,6.23422,4.28409,1.03904,5,1
8,7-36-97|s1.0|t0.8|h30|warning_only,3,1,1.0,1.63172,999.0,1.63172,1,0
8,7-36-97|s1.0|t0.8|h30|warning_only,4,4,1.0,5.78327,999.0,1.44582,4,0
