hour,bars,avg_energy,avg_range_atr,avg_vol_ratio,expansion_pct,breakout_pct,false_break_pct,sweep_pct,continuation_h3,continuation_h6,continuation_h12,pullback_0p25_h6,pullback_0p50_h6,reach_0p50_h12,reach_1atr_h12,rr_tp,rr_sl,rr_edge,behavior_summary,operational_guidance
10,4368,67.21547974944878,1.207871185864579,1.222920214805116,0.7355769230769231,0.5064102564102564,0.4352106227106227,0.4342948717948718,0.5043498168498168,0.5070970695970696,0.49313186813186816,0.8836996336996337,0.7831959706959707,0.8511904761904762,0.7181776556776557,0.3315018315018315,0.6311813186813187,-0.29967948717948717,janela de expansão/movimento; volume acima da média; alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
9,4368,66.4208077464789,1.265502577848012,1.3034686085959004,0.45283882783882784,0.4876373626373626,0.45467032967032966,0.4523809523809524,0.4983974358974359,0.5077838827838828,0.5052655677655677,0.8853021978021978,0.7941849816849816,0.8706501831501832,0.7406135531135531,0.33287545787545786,0.6247710622710623,-0.2918956043956044,janela de expansão/movimento; volume acima da média; alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
21,4366,63.45890944640783,1.1865843385563022,1.4370788507747927,0.2047640861200183,0.5027485112230875,0.44113605130554284,0.43930371049015116,0.5016032982134677,0.4848831882730188,0.49496106275767293,0.8825011452130096,0.7693540998625744,0.8403573064590014,0.6942281264315162,0.3250114521300962,0.6294090700870362,-0.30439761795694,janela de expansão/movimento; volume acima da média; alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
2,4368,57.51685143123582,1.106147972643664,1.1992786603759888,0.09340659340659341,0.5006868131868132,0.4384157509157509,0.4358974358974359,0.5064102564102564,0.5093864468864469,0.5013736263736264,0.8727106227106227,0.7616758241758241,0.829441391941392,0.6806318681318682,0.3342490842490842,0.6373626373626373,-0.3031135531135531,volume acima da média; alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
11,4368,57.43257720690729,1.0137090242852551,1.000942731056413,0.8612637362637363,0.48695054945054944,0.43956043956043955,0.4393315018315018,0.4899267399267399,0.49198717948717946,0.4958791208791209,0.8507326007326007,0.7168040293040293,0.7831959706959707,0.5856227106227107,0.3315018315018315,0.6536172161172161,-0.32211538461538464,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
22,4368,56.03713534545229,1.0999845376048476,1.127912970958406,0.28777472527472525,0.4858058608058608,0.4429945054945055,0.44024725274725274,0.5061813186813187,0.5041208791208791,0.5089285714285714,0.8550824175824175,0.722985347985348,0.8028846153846154,0.6339285714285714,0.3383699633699634,0.6371336996336996,-0.2987637362637362,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
8,4368,55.23513986766152,1.047914091690657,1.1036961666477139,0.19963369963369965,0.4896978021978022,0.4423076923076923,0.4397893772893773,0.4942765567765568,0.4967948717948718,0.5064102564102564,0.8766025641025641,0.7671703296703297,0.8534798534798534,0.717032967032967,0.3342490842490842,0.6414835164835165,-0.3072344322344323,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
20,4356,54.01584917103356,1.00661851645764,1.160083540621462,0.17699724517906337,0.47910927456382,0.4299816345270891,0.42676767676767674,0.4837006427915519,0.4903581267217631,0.5048209366391184,0.8686868686868687,0.7640036730945822,0.8452708907254362,0.7137281910009182,0.32966023875114786,0.6361340679522498,-0.30647382920110194,volume acima da média; alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
3,4368,53.53998251769458,1.0473754691239896,1.0775418344923609,0.1304945054945055,0.4768772893772894,0.4397893772893773,0.43795787545787546,0.4933608058608059,0.4933608058608059,0.5061813186813187,0.8690476190476191,0.7516025641025641,0.8255494505494505,0.6689560439560439,0.3367673992673993,0.6426282051282052,-0.3058608058608059,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
4,4368,52.65569749498223,1.0459622451057322,1.0121601113662497,0.1742216117216117,0.5114468864468864,0.4226190476190476,0.42055860805860806,0.4855769230769231,0.5020604395604396,0.49725274725274726,0.8587454212454212,0.7307692307692307,0.8044871794871795,0.6336996336996337,0.3475274725274725,0.6389652014652014,-0.2914377289377289,alta devolução após impulso; rompimentos frequentes; sweeps/falsos rompimentos relevantes; continuação fraca com devolução,evitar stop apertado; evitar perseguir candle; esperar aceitação; cuidado com entrada curta na direção do candle
