memory_type,memory_key,bars,episode_starts,avg_attempt_number_48,avg_recent_failures_24,avg_energy,avg_range_atr,continuation_h6,pullback_0p50_h6,reach_1atr_h12,buy_tp,buy_sl,buy_edge,sell_tp,sell_sl,sell_edge,best_side,best_edge,edge_gap,memory_score,memory_guidance
memory_dna,memory=ACTIVE_LEVEL_CONTACT|side=UP|attempt=FIRST_ATTEMPT|quality=NO_NEW_ATTEMPT|fail=ONE_RECENT_FAILURE|lf_age=LF_NOW|align=FULL/DOWN,257,0,1.0,10.268482490272374,46.35557454994198,0.8670373225780598,0.7782101167315175,0.4163424124513619,0.8560311284046692,0.07003891050583658,0.9299610894941635,-0.8599221789883269,0.6536964980544747,0.32684824902723736,0.32684824902723736,SELL,0.32684824902723736,1.1867704280155642,0.5803692607003892,SELL: memória favorável; buscar confirmação/reteste
memory_dna,memory=ACTIVE_LEVEL_CONTACT|side=DOWN|attempt=FIRST_ATTEMPT|quality=NO_NEW_ATTEMPT|fail=ONE_RECENT_FAILURE|lf_age=LF_NOW|align=NONE/MIXED,1117,0,1.0,10.270367054610563,44.62036511100442,0.8418121578166865,0.4359892569382274,0.7940913160250671,0.5711727842435094,0.3401969561324978,0.6356311548791406,-0.2954341987466428,0.3106535362578335,0.6714413607878246,-0.3607878245299911,BUY,-0.2954341987466428,0.0653536257833483,0.1017905102954342,memória desfavorável; evitar usar como gatilho
memory_dna,memory=ACTIVE_LEVEL_CONTACT|side=DOWN|attempt=FIRST_ATTEMPT|quality=NO_NEW_ATTEMPT|fail=ONE_RECENT_FAILURE|lf_age=LF_1_3|align=NONE/MIXED,362,0,1.0,9.817679558011049,40.99497254489297,0.7888096027983516,0.3342541436464088,0.8204419889502762,0.45027624309392267,0.38950276243093923,0.574585635359116,-0.18508287292817677,0.24033149171270718,0.7403314917127072,-0.5,BUY,-0.18508287292817677,0.31491712707182323,0.09959779005524866,memória desfavorável; evitar usar como gatilho
memory_dna,memory=SECOND_LEVEL_ATTEMPT|side=DOWN|attempt=SECOND_ATTEMPT|quality=WEAKENING|fail=NO_RECENT_FAILURE|lf_age=LF_OLD_NONE|align=MIXED/DOWN,135,135,2.0,8.844444444444445,41.86267527458093,0.7659985407017234,0.4888888888888889,0.762962962962963,0.6370370370370371,0.2518518518518518,0.7111111111111111,-0.4592592592592593,0.3111111111111111,0.6592592592592592,-0.3481481481481481,SELL,-0.3481481481481481,0.11111111111111122,0.09757407407407413,memória desfavorável; evitar usar como gatilho
memory_dna,memory=ACTIVE_LEVEL_CONTACT|side=DOWN|attempt=FIRST_ATTEMPT|quality=NO_NEW_ATTEMPT|fail=NO_RECENT_FAILURE|lf_age=LF_OLD_NONE|align=MIXED/DOWN,254,0,1.0,9.531496062992126,42.202684134235135,0.7673554399628338,0.4763779527559055,0.7480314960629921,0.6377952755905512,0.3346456692913386,0.6417322834645669,-0.3070866141732283,0.3228346456692913,0.6692913385826772,-0.3464566929133859,BUY,-0.3070866141732283,0.03937007874015758,0.09626614173228351,memória desfavorável; evitar usar como gatilho
memory_dna,memory=SECOND_LEVEL_ATTEMPT|side=UP|attempt=SECOND_ATTEMPT|quality=WEAKENING|fail=ONE_RECENT_FAILURE|lf_age=LF_NOW|align=NONE/MIXED,262,262,2.0,10.320610687022901,36.191179549835084,0.7210017708653863,0.40076335877862596,0.8091603053435115,0.5190839694656488,0.2748091603053435,0.7099236641221374,-0.43511450381679384,0.38549618320610685,0.5954198473282443,-0.20992366412213742,SELL,-0.20992366412213742,0.22519083969465642,0.09375725190839693,memória desfavorável; evitar usar como gatilho
memory_dna,memory=SECOND_LEVEL_ATTEMPT|side=UP|attempt=SECOND_ATTEMPT|quality=WEAKENING|fail=NO_RECENT_FAILURE|lf_age=LF_OLD_NONE|align=MIXED/UP,291,291,2.0,9.268041237113403,41.388930566280365,0.7631526821038072,0.48109965635738833,0.7491408934707904,0.5945017182130584,0.29553264604810997,0.6632302405498282,-0.3676975945017182,0.32989690721649484,0.6597938144329897,-0.32989690721649484,SELL,-0.32989690721649484,0.037800687285223344,0.09129931271477662,memória desfavorável; evitar usar como gatilho
memory_dna,memory=ACTIVE_LEVEL_CONTACT|side=DOWN|attempt=FIRST_ATTEMPT|quality=FIRST_ATTEMPT|fail=ONE_RECENT_FAILURE|lf_age=LF_NOW|align=NONE/MIXED,3876,3876,1.0,10.333333333333334,51.01995588204461,1.0451810127207475,0.39525283797729616,0.824045407636739,0.542827657378741,0.2982456140350877,0.6821465428276574,-0.3839009287925697,0.33875128998968007,0.6393188854489165,-0.3005675954592364,SELL,-0.3005675954592364,0.08333333333333331,0.09115067079463367,memória desfavorável; evitar usar como gatilho
memory_dna,memory=RECENT_FALSE_BREAK_MEMORY|side=NONE|attempt=FIRST_ATTEMPT|quality=NO_NEW_ATTEMPT|fail=NO_RECENT_FAILURE|lf_age=LF_OLD_NONE|align=NONE/MIXED,3062,0,1.0,9.51208360548661,39.03920139468022,0.7255599079512894,0.4163945133899412,0.8011103853690399,0.55421293272371,0.3122142390594383,0.6685173089483998,-0.3563030698889615,0.32919660352710645,0.6492488569562378,-0.32005225342913135,SELL,-0.32005225342913135,0.03625081645983014,0.08956564337034616,memória desfavorável; evitar usar como gatilho
memory_dna,memory=ACTIVE_LEVEL_CONTACT|side=UP|attempt=FIRST_ATTEMPT|quality=FIRST_ATTEMPT|fail=ONE_RECENT_FAILURE|lf_age=LF_NOW|align=NONE/MIXED,2059,2059,1.0,10.454103933948518,44.91712183127716,0.8948095441151711,0.39388052452646916,0.8120446818844099,0.5483244293346284,0.30694511898980087,0.6775133559980573,-0.3705682370082564,0.3302574065080136,0.6508013598834386,-0.32054395337542496,SELL,-0.32054395337542496,0.05002428363283146,0.08725109276347742,memória desfavorável; evitar usar como gatilho
memory_dna,memory=ACTIVE_LEVEL_CONTACT|side=UP|attempt=FIRST_ATTEMPT|quality=NO_NEW_ATTEMPT|fail=TWO_RECENT_FAILURES|lf_age=LF_NOW|align=MIXED/UP,291,0,1.0,10.20274914089347,42.06738371528989,0.7659178934063439,0.35051546391752575,0.8178694158075601,0.436426116838488,0.38831615120274915,0.584192439862543,-0.19587628865979384,0.2542955326460481,0.7319587628865979,-0.4776632302405498,BUY,-0.19587628865979384,0.28178694158075596,0.08511374570446734,memória desfavorável; evitar usar como gatilho
