law_id,law_name,side,dimension,segment,base_edge,segment_edge_delta,segment_status,full_bars,full_valid,full_tp_rate,full_sl_rate,full_edge,full_edge_ci_low,full_edge_ci_high,full_no_touch_rate,full_ambiguous_rate,full_reach_1atr,full_pullback_0p50,oos_bars,oos_valid,oos_tp_rate,oos_sl_rate,oos_edge,oos_edge_ci_low,oos_edge_ci_high,oos_no_touch_rate,oos_ambiguous_rate,oos_reach_1atr,oos_pullback_0p50
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,BREAKOUT_ALIGNMENT,BREAKOUT_WITH_HTF_UP,0.5168776371308017,-0.1835443037974684,INSUFFICIENT,6,6,0.5,0.16666666666666666,0.3333333333333333,-0.3200000000000001,0.9866666666666668,0.0,0.3333333333333333,1.0,0.6666666666666666,2,2,0.5,0.0,0.5,-0.48,1.48,0.0,0.5,1.0,0.5
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,BREAKOUT_ALIGNMENT,BREAKOUT_MIXED_HTF,0.5168776371308017,0.2217115744874556,STRONGER,482,482,0.8506224066390041,0.11203319502074689,0.7385892116182573,0.6808693510796651,0.7963090721568495,0.002074688796680498,0.035269709543568464,0.14315352697095435,0.979253112033195,149,149,0.8791946308724832,0.09395973154362416,0.785234899328859,0.6890311854478399,0.8814386132098782,0.006711409395973154,0.020134228187919462,0.12080536912751678,0.9865771812080537
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,BREAKOUT_ALIGNMENT,BREAKOUT_AGAINST_HTF_DOWN,0.5168776371308017,-0.22992111539167126,WEAKER,460,460,0.6282608695652174,0.34130434782608693,0.28695652173913044,0.2007846200961239,0.373128423382137,0.002173913043478261,0.02826086956521739,0.3717391304347826,0.9173913043478261,136,136,0.5955882352941176,0.40441176470588236,0.19117647058823528,0.025597900188021522,0.356755040988449,0.0,0.0,0.34558823529411764,0.8897058823529411
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,ENERGY,VERY_LOW,0.5168776371308017,-0.005249730154057497,INSUFFICIENT,43,43,0.7441860465116279,0.23255813953488372,0.5116279069767442,0.25589966199717273,0.7673561519563157,0.0,0.023255813953488372,0.32558139534883723,0.9302325581395349,11,11,0.8181818181818182,0.18181818181818182,0.6363636363636364,0.15825164699277228,1.1144756257345003,0.0,0.0,0.2727272727272727,1.0
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,ENERGY,EXTREME,0.5168776371308017,-0.10114730005215,MIXED,89,89,0.6629213483146067,0.24719101123595505,0.4157303370786517,0.2363267376435101,0.5951339365137933,0.0,0.0898876404494382,0.2808988764044944,0.9438202247191011,24,24,0.625,0.25,0.375,0.024771813514823326,0.7252281864851766,0.0,0.125,0.20833333333333334,1.0
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,ENERGY,MEDIUM,0.5168776371308017,0.03730192943266575,STABLE,323,323,0.7708978328173375,0.21671826625386997,0.5541795665634675,0.4640758814143675,0.6442832517125674,0.0030959752321981426,0.009287925696594427,0.23529411764705882,0.9690402476780186,101,101,0.7425742574257426,0.24752475247524752,0.49504950495049505,0.3258724370427778,0.6642265728582123,0.009900990099009901,0.0,0.24752475247524752,0.9405940594059405
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,ENERGY,HIGH,0.5168776371308017,0.003614166147886788,STABLE,244,244,0.7336065573770492,0.21311475409836064,0.5204918032786885,0.41712880202072766,0.6238548045366493,0.0,0.05327868852459016,0.30327868852459017,0.9344262295081968,75,75,0.72,0.26666666666666666,0.4533333333333333,0.2519567470838652,0.6547099195828014,0.0,0.013333333333333334,0.24,0.9333333333333333
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,ENERGY,LOW,0.5168776371308017,-0.014869605002287622,STABLE,249,249,0.7349397590361446,0.23293172690763053,0.5020080321285141,0.39670421755694957,0.6073118467000787,0.004016064257028112,0.028112449799196786,0.2289156626506024,0.9357429718875502,76,76,0.7894736842105263,0.21052631578947367,0.5789473684210527,0.39441291638317527,0.76348182045893,0.0,0.0,0.21052631578947367,0.9078947368421053
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,23,0.5168776371308017,0.19364867865867197,INSUFFICIENT,38,38,0.8421052631578947,0.13157894736842105,0.7105263157894737,0.4898956136748771,0.9311570179040702,0.0,0.02631578947368421,0.15789473684210525,0.9736842105263158,12,12,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.22618942319068186,1.1071439101426515,0.0,0.0,0.08333333333333333,0.9166666666666666
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,5,0.5168776371308017,0.16883664858348402,INSUFFICIENT,35,35,0.8285714285714286,0.14285714285714285,0.6857142857142857,0.4477385084002169,0.9236900630283545,0.0,0.02857142857142857,0.14285714285714285,0.9428571428571428,11,11,0.7272727272727273,0.2727272727272727,0.45454545454545453,-0.09753071698665722,1.0066216260775662,0.0,0.0,0.2727272727272727,0.9090909090909091
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,4,0.5168776371308017,0.14026522001205544,INSUFFICIENT,35,35,0.8285714285714286,0.17142857142857143,0.6571428571428571,0.40377402578058724,0.910511688505127,0.0,0.0,0.2,0.9714285714285714,13,13,0.6923076923076923,0.3076923076923077,0.38461538461538464,-0.1376645512053845,0.9068953204361538,0.0,0.0,0.23076923076923078,0.9230769230769231
LAW_0001A,First Resistance Attempt Against Bearish MTF,SELL,HOUR_BRT,7,0.5168776371308017,0.10381201804161211,INSUFFICIENT,29,29,0.7586206896551724,0.13793103448275862,0.6206896551724138,0.3558315391160927,0.885547771228735,0.0,0.10344827586206896,0.27586206896551724,0.9655172413793104,8,8,0.75,0.25,0.5,-0.14156059729381754,1.1415605972938176,0.0,0.0,0.25,0.875
