event_name,hour,anchor_market_state,energy_bucket,mtf_alignment_bucket,mtf_bias,bars,avg_energy,avg_range_atr,continuation_h3,continuation_h6,pullback_0p50_h6,reach_1atr_h12,rr_tp,rr_sl,rr_edge
FALSE_BREAK,12,SWEEP_OR_FALSE_BREAK,LOW,FULL,UP,122,30.849237648175396,0.6369647528347517,0.7377049180327869,0.7459016393442623,0.4098360655737705,0.7704918032786885,0.5983606557377049,0.39344262295081966,0.20491803278688525
BREAKOUT,1,NORMAL_FLOW,MEDIUM,FULL,UP,122,49.97008533567879,0.9770105601206132,0.6885245901639344,0.7049180327868853,0.5,0.860655737704918,0.5819672131147541,0.4098360655737705,0.17213114754098358
BREAKOUT,21,ACCEPTED_BREAKOUT,HIGH,FULL,UP,139,71.19027101575942,1.2592126255251033,0.7122302158273381,0.7482014388489209,0.5611510791366906,0.8920863309352518,0.5683453237410072,0.4244604316546763,0.14388489208633093
BREAKOUT,3,NORMAL_FLOW,MEDIUM,FULL,UP,130,50.21903416051783,0.9472131634132267,0.6692307692307692,0.676923076923077,0.5846153846153846,0.8615384615384616,0.5230769230769231,0.43846153846153846,0.08461538461538465
BREAKOUT,23,NORMAL_FLOW,MEDIUM,FULL,DOWN,120,50.05234503186589,0.9709951355020336,0.65,0.6916666666666667,0.55,0.7833333333333333,0.525,0.4666666666666667,0.05833333333333335
BREAKOUT,23,NORMAL_FLOW,MEDIUM,FULL,UP,151,49.39793720049256,0.9545279680697154,0.7152317880794702,0.6754966887417219,0.47019867549668876,0.7350993377483444,0.5165562913907285,0.47019867549668876,0.046357615894039694
BREAKOUT,4,NORMAL_FLOW,MEDIUM,FULL,UP,148,50.99758972186662,0.9710439065344924,0.6959459459459459,0.7297297297297297,0.5540540540540541,0.8243243243243243,0.5135135135135135,0.47297297297297297,0.040540540540540515
BREAKOUT,11,EXPANSION,EXTREME,FULL,UP,128,87.13298265351588,1.749846446215884,0.703125,0.7421875,0.546875,0.8046875,0.5078125,0.46875,0.0390625
BREAKOUT,16,NORMAL_FLOW,MEDIUM,FULL,UP,131,49.99201496796971,0.9481646043497548,0.6412213740458015,0.6641221374045801,0.5801526717557252,0.7633587786259542,0.4961832061068702,0.4961832061068702,0.0
BREAKOUT,10,EXPANSION,EXTREME,FULL,DOWN,237,90.0450660123435,1.9227796426280244,0.6286919831223629,0.6244725738396625,0.7215189873417721,0.8523206751054853,0.45569620253164556,0.459915611814346,-0.004219409282700426
BREAKOUT,12,NORMAL_FLOW,MEDIUM,FULL,UP,188,49.46553211292415,0.8717958164037044,0.6329787234042553,0.7393617021276596,0.48936170212765956,0.723404255319149,0.48404255319148937,0.4946808510638298,-0.010638297872340441
BREAKOUT,7,NORMAL_FLOW,MEDIUM,FULL,UP,125,51.00029818726002,0.9693799398485892,0.696,0.656,0.576,0.776,0.488,0.512,-0.02400000000000002
BREAKOUT,11,NORMAL_FLOW,MEDIUM,FULL,UP,155,51.0091501949059,0.8167251852605601,0.6516129032258065,0.7354838709677419,0.5290322580645161,0.7741935483870968,0.4838709677419355,0.5096774193548387,-0.02580645161290318
BREAKOUT,9,EXPANSION,EXTREME,FULL,UP,139,89.99835485436355,1.9955749336950184,0.6906474820143885,0.7338129496402878,0.6546762589928058,0.8776978417266187,0.45323741007194246,0.5035971223021583,-0.05035971223021579
BREAKOUT,5,NORMAL_FLOW,MEDIUM,FULL,UP,122,50.424539710413896,0.9510677791811095,0.6229508196721312,0.7049180327868853,0.5819672131147541,0.7377049180327869,0.45081967213114754,0.5409836065573771,-0.09016393442622955
BREAKOUT,10,EXPANSION,HIGH,FULL,UP,145,73.35381304051712,1.217598143572899,0.6896551724137931,0.7241379310344828,0.6413793103448275,0.8896551724137931,0.4413793103448276,0.5379310344827586,-0.096551724137931
BREAKOUT,9,EXPANSION,EXTREME,FULL,DOWN,130,91.25774451781882,2.102543864051915,0.6307692307692307,0.6846153846153846,0.7615384615384615,0.9076923076923077,0.3923076923076923,0.5,-0.1076923076923077
FALSE_BREAK,8,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,DOWN,144,50.32849843600392,0.9119404872626495,0.5555555555555556,0.6180555555555556,0.6805555555555556,0.75,0.4305555555555556,0.5486111111111112,-0.11805555555555558
BREAKOUT,15,NORMAL_FLOW,MEDIUM,FULL,UP,125,49.989845118183354,0.9273288201670652,0.584,0.648,0.592,0.736,0.416,0.568,-0.15199999999999997
BREAKOUT,11,EXPANSION,EXTREME,FULL,DOWN,149,88.12026618416907,1.9359203734580461,0.5570469798657718,0.5771812080536913,0.785234899328859,0.7785234899328859,0.348993288590604,0.5302013422818792,-0.18120805369127518
BREAKOUT,11,EXPANSION,HIGH,FULL,UP,148,71.34015299935116,1.235580021649419,0.6554054054054054,0.6283783783783784,0.6418918918918919,0.7432432432432432,0.3918918918918919,0.581081081081081,-0.18918918918918914
BREAKOUT,10,EXPANSION,EXTREME,FULL,UP,202,88.5683111695894,1.7242381916990661,0.6237623762376238,0.6435643564356436,0.7277227722772277,0.8316831683168316,0.38613861386138615,0.5841584158415841,-0.19801980198019797
BREAKOUT,6,NORMAL_FLOW,MEDIUM,FULL,UP,121,50.2698299673548,0.9552332346808468,0.5785123966942148,0.512396694214876,0.6611570247933884,0.71900826446281,0.3884297520661157,0.6033057851239669,-0.21487603305785125
FALSE_BREAK,7,SWEEP_OR_FALSE_BREAK,LOW,MIXED,DOWN,129,30.430736632196325,0.7110325616028419,0.4573643410852713,0.4883720930232558,0.6976744186046512,0.6511627906976745,0.3798449612403101,0.6046511627906976,-0.22480620155038755
FALSE_BREAK,9,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,DOWN,127,51.3462051465682,0.9411478349312652,0.49606299212598426,0.4409448818897638,0.7559055118110236,0.6850393700787402,0.3779527559055118,0.6141732283464567,-0.2362204724409449
FALSE_BREAK,7,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,DOWN,129,49.43296810219633,0.9422298315417742,0.5193798449612403,0.4883720930232558,0.7131782945736435,0.627906976744186,0.37209302325581395,0.6124031007751938,-0.24031007751937983
BREAKOUT,14,NORMAL_FLOW,MEDIUM,FULL,UP,129,50.09687661630524,0.9263807346458344,0.6201550387596899,0.6666666666666666,0.6511627906976745,0.6511627906976745,0.35658914728682173,0.6124031007751938,-0.25581395348837205
FALSE_BREAK,0,SWEEP_OR_FALSE_BREAK,LOW,MIXED,DOWN,190,29.835377633854964,0.6876539402943532,0.48947368421052634,0.4631578947368421,0.6473684210526316,0.5052631578947369,0.34210526315789475,0.6263157894736842,-0.2842105263157894
FALSE_BREAK,2,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,DOWN,150,49.985066359117745,0.9463458906331845,0.43333333333333335,0.52,0.7733333333333333,0.7266666666666667,0.34,0.6266666666666667,-0.2866666666666667
FALSE_BREAK,13,SWEEP_OR_FALSE_BREAK,LOW,MIXED,DOWN,181,30.47023213909703,0.6704309819214938,0.5082872928176796,0.430939226519337,0.6464088397790055,0.5193370165745856,0.35359116022099446,0.6408839779005525,-0.28729281767955805
FALSE_BREAK,6,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,UP,131,49.43799792538058,0.9509386853247862,0.42748091603053434,0.44274809160305345,0.7480916030534351,0.6412213740458015,0.3511450381679389,0.648854961832061,-0.29770992366412213
FALSE_BREAK,17,SWEEP_OR_FALSE_BREAK,LOW,MIXED,DOWN,136,29.168816603325013,0.7644792063553846,0.4632352941176471,0.5073529411764706,0.6838235294117647,0.625,0.3382352941176471,0.6397058823529411,-0.30147058823529405
BREAKOUT,4,NORMAL_FLOW,MEDIUM,MIXED,UP,130,50.001112485117325,0.9544121244496472,0.4846153846153846,0.45384615384615384,0.7384615384615385,0.5923076923076923,0.34615384615384615,0.6538461538461539,-0.3076923076923077
FALSE_BREAK,4,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,DOWN,142,49.007182273867166,0.9651999221857014,0.43661971830985913,0.5070422535211268,0.7253521126760564,0.6338028169014085,0.3380281690140845,0.6619718309859155,-0.323943661971831
FALSE_BREAK,22,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,UP,129,48.836653581877535,0.900548907285737,0.43410852713178294,0.4806201550387597,0.7131782945736435,0.6124031007751938,0.3333333333333333,0.6666666666666666,-0.3333333333333333
BREAKOUT,13,NORMAL_FLOW,MEDIUM,MIXED,UP,138,49.04590582563298,0.8816974935928238,0.5507246376811594,0.463768115942029,0.6666666666666666,0.4782608695652174,0.30434782608695654,0.6521739130434783,-0.34782608695652173
FALSE_BREAK,23,SWEEP_OR_FALSE_BREAK,LOW,MIXED,DOWN,155,30.56496572252494,0.6807035268009233,0.4838709677419355,0.3935483870967742,0.7290322580645161,0.4967741935483871,0.3225806451612903,0.6709677419354839,-0.3483870967741936
FALSE_BREAK,14,SWEEP_OR_FALSE_BREAK,LOW,MIXED,DOWN,180,29.741366952197293,0.6594601648276729,0.4666666666666667,0.5277777777777778,0.6777777777777778,0.5,0.32222222222222224,0.6722222222222223,-0.35000000000000003
FALSE_BREAK,5,SWEEP_OR_FALSE_BREAK,LOW,MIXED,DOWN,141,31.10157256459521,0.7091046245745974,0.475177304964539,0.48936170212765956,0.75177304964539,0.6666666666666666,0.3191489361702128,0.6737588652482269,-0.35460992907801414
BREAKOUT,7,NORMAL_FLOW,MEDIUM,MIXED,UP,143,49.37517021689196,0.9304233701604748,0.4755244755244755,0.5314685314685315,0.7412587412587412,0.6853146853146853,0.32167832167832167,0.6783216783216783,-0.35664335664335667
FALSE_BREAK,10,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,124,51.00778220755195,0.8811690408923859,0.46774193548387094,0.3387096774193548,0.8629032258064516,0.7016129032258065,0.28225806451612906,0.6451612903225806,-0.36290322580645157
FALSE_BREAK,12,SWEEP_OR_FALSE_BREAK,LOW,MIXED,DOWN,168,31.18077738716801,0.660383560990758,0.47023809523809523,0.47023809523809523,0.6726190476190477,0.5595238095238095,0.30952380952380953,0.6726190476190477,-0.36309523809523814
FALSE_BREAK,5,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,DOWN,142,49.241029152129805,0.9442474064142401,0.4295774647887324,0.43661971830985913,0.7887323943661971,0.6197183098591549,0.29577464788732394,0.6690140845070423,-0.3732394366197183
FALSE_BREAK,6,SWEEP_OR_FALSE_BREAK,LOW,MIXED,UP,144,31.47846409175112,0.7044125828321294,0.4722222222222222,0.4861111111111111,0.7638888888888888,0.5833333333333334,0.3125,0.6875,-0.375
FALSE_BREAK,6,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,153,49.76064549075295,0.9323581935918572,0.48366013071895425,0.43137254901960786,0.7843137254901961,0.5947712418300654,0.3006535947712418,0.6797385620915033,-0.3790849673202615
FALSE_BREAK,4,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,UP,158,49.19524461417166,0.9513319253537128,0.46835443037974683,0.5253164556962026,0.7215189873417721,0.5822784810126582,0.310126582278481,0.689873417721519,-0.379746835443038
FALSE_BREAK,20,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,DOWN,120,49.89884584251975,0.898791615698978,0.39166666666666666,0.4666666666666667,0.8333333333333334,0.7333333333333333,0.275,0.675,-0.4
FALSE_BREAK,14,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,137,48.692079127540055,0.8975564303573155,0.4744525547445255,0.4306569343065693,0.6934306569343066,0.5109489051094891,0.2846715328467153,0.6861313868613139,-0.4014598540145986
FALSE_BREAK,11,SWEEP_OR_FALSE_BREAK,MEDIUM,NONE,MIXED,159,49.93410220552915,0.8358901283073256,0.49056603773584906,0.41509433962264153,0.7484276729559748,0.5094339622641509,0.29559748427672955,0.6981132075471698,-0.4025157232704402
FALSE_BREAK,6,SWEEP_OR_FALSE_BREAK,LOW,MIXED,DOWN,129,30.742794096067993,0.7145185514978614,0.4108527131782946,0.5038759689922481,0.7906976744186046,0.5891472868217055,0.29457364341085274,0.6976744186046512,-0.40310077519379844
BREAKOUT,6,NORMAL_FLOW,MEDIUM,MIXED,DOWN,128,50.30262608665431,0.9424463410288448,0.4375,0.4375,0.78125,0.5859375,0.296875,0.703125,-0.40625
BREAKOUT,5,NORMAL_FLOW,MEDIUM,MIXED,UP,128,49.659078815814986,0.9267112083051523,0.4609375,0.4140625,0.75,0.5078125,0.296875,0.703125,-0.40625
FALSE_BREAK,1,SWEEP_OR_FALSE_BREAK,LOW,MIXED,DOWN,136,30.75713282056754,0.6927634543869983,0.4264705882352941,0.49264705882352944,0.7205882352941176,0.625,0.2867647058823529,0.7058823529411765,-0.4191176470588236
FALSE_BREAK,22,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,DOWN,152,50.3281660481125,0.9467148181210929,0.4868421052631579,0.4605263157894737,0.7631578947368421,0.5789473684210527,0.28289473684210525,0.7039473684210527,-0.4210526315789474
