breakout_episode_side,attempt_bucket,attempt_quality,failure_memory_bucket,memory_condition,mtf_alignment_bucket,mtf_bias,attempts,avg_energy,avg_range_atr,avg_energy_delta,avg_range_delta,continuation_h6,pullback_0p50_h6,reach_1atr_h12,buy_edge,sell_edge,best_side,best_edge,edge_gap
UP,SECOND_ATTEMPT,STABLE,TWO_RECENT_FAILURES,SECOND_LEVEL_ATTEMPT,MIXED,DOWN,71,36.52349246222898,0.7673666507269326,-0.8263226798201475,0.009641682323330585,0.43661971830985913,0.7605633802816901,0.5915492957746479,-0.6056338028169014,0.12676056338028174,SELL,0.12676056338028174,0.7323943661971831
UP,FIRST_ATTEMPT,FIRST_ATTEMPT,ONE_RECENT_FAILURE,ACTIVE_LEVEL_CONTACT,FULL,DOWN,790,48.29138852471093,0.9427775084062071,,,0.7113924050632912,0.5417721518987342,0.8721518987341772,-0.7721518987341772,0.12658227848101272,SELL,0.12658227848101272,0.89873417721519
DOWN,SECOND_ATTEMPT,IMPROVING,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,FULL,DOWN,266,61.674393166137364,1.2889804422291158,21.588731864294896,0.47419598884236386,0.7255639097744361,0.5451127819548872,0.849624060150376,-0.7293233082706767,0.12406015037593987,SELL,0.12406015037593987,0.8533834586466166
DOWN,SECOND_ATTEMPT,STABLE,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,MIXED,UP,173,43.93771778905087,0.9371285858336441,-2.1972026534439113,0.04329224514661544,0.41040462427745666,0.7630057803468208,0.5375722543352601,0.12138728323699416,-0.6705202312138728,BUY,0.12138728323699416,0.7919075144508669
UP,FIRST_ATTEMPT,FIRST_ATTEMPT,ONE_RECENT_FAILURE,ACTIVE_LEVEL_CONTACT,FULL,UP,969,45.207623672690275,0.8931785366100508,,,0.7461300309597523,0.5087719298245614,0.8400412796697626,0.12074303405572756,-0.736842105263158,BUY,0.12074303405572756,0.8575851393188856
UP,SECOND_ATTEMPT,STABLE,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,MIXED,DOWN,84,40.999082292831496,0.8712120578156318,-3.2088320143985465,-0.0016529108183971353,0.47619047619047616,0.7976190476190477,0.4880952380952381,-0.6428571428571429,0.09523809523809529,SELL,0.09523809523809529,0.7380952380952381
DOWN,SECOND_ATTEMPT,IMPROVING,NO_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,FULL,DOWN,66,61.718438731291975,1.2815611571117858,20.851374461151863,0.42363684765859355,0.7121212121212122,0.5606060606060606,0.8636363636363636,-0.7424242424242424,0.09090909090909088,SELL,0.09090909090909088,0.8333333333333333
UP,SECOND_ATTEMPT,WEAKENING,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,MIXED,DOWN,190,35.72056804301831,0.7261555869924363,-26.38299091616501,-0.49326979803845145,0.48947368421052634,0.7052631578947368,0.5736842105263158,-0.6000000000000001,0.08947368421052632,SELL,0.08947368421052632,0.6894736842105265
DOWN,FIRST_ATTEMPT,FIRST_ATTEMPT,ONE_RECENT_FAILURE,ACTIVE_LEVEL_CONTACT,FULL,DOWN,1972,57.81520745297932,1.2358603808208737,,,0.6942190669371197,0.5694726166328601,0.8524340770791075,-0.6769776876267749,0.06744421906693715,SELL,0.06744421906693715,0.7444219066937121
DOWN,SECOND_ATTEMPT,WEAKENING,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,MIXED,UP,179,41.35398098482545,0.8332687429736632,-22.991406552641653,-0.5053267377302016,0.4581005586592179,0.776536312849162,0.547486033519553,0.06145251396648038,-0.7486033519553073,BUY,0.06145251396648038,0.8100558659217876
DOWN,FIRST_ATTEMPT,IMPROVING,ONE_RECENT_FAILURE,IMPROVING_LEVEL_ATTEMPT,FULL,UP,132,66.19035360681531,1.5234862362306314,23.24268287198238,0.6590813117957511,0.75,0.5075757575757576,0.8181818181818182,0.05303030303030304,-0.6666666666666667,BUY,0.05303030303030304,0.7196969696969697
DOWN,THIRD_ATTEMPT,IMPROVING,TWO_RECENT_FAILURES,THIRD_LEVEL_ATTEMPT,FULL,DOWN,41,60.447448259876346,1.2184505749376413,25.455723110751162,0.4864407928427124,0.7560975609756098,0.5121951219512195,0.8048780487804879,-0.853658536585366,0.04878048780487804,SELL,0.04878048780487804,0.902439024390244
DOWN,SECOND_ATTEMPT,IMPROVING,TWO_RECENT_FAILURES,SECOND_LEVEL_ATTEMPT,MIXED,DOWN,71,55.995717191410186,1.139195163467146,18.38757388125409,0.37727206578126854,0.4084507042253521,0.7605633802816901,0.5774647887323944,-0.5352112676056338,0.04225352112676056,SELL,0.04225352112676056,0.5774647887323943
DOWN,FIRST_ATTEMPT,WEAKENING,ONE_RECENT_FAILURE,WEAKENING_LEVEL_ATTEMPT,FULL,UP,77,46.890151586767885,0.8850970958268217,-18.6481184524495,-0.4207932413268985,0.6493506493506493,0.5324675324675324,0.7922077922077922,0.038961038961038974,-0.8181818181818181,BUY,0.038961038961038974,0.8571428571428571
UP,FIRST_ATTEMPT,FIRST_ATTEMPT,NO_RECENT_FAILURE,CLEAN_FIRST_ATTEMPT,NONE,MIXED,3093,56.64026004198463,1.06264386799266,,,0.27804720336243127,0.8868412544455222,0.38247655997413516,-0.6553507921112189,0.032977691561590694,SELL,0.032977691561590694,0.6883284836728096
DOWN,FIRST_ATTEMPT,FIRST_ATTEMPT,ONE_RECENT_FAILURE,ACTIVE_LEVEL_CONTACT,FULL,UP,2027,55.09716987027799,1.157967994479822,,,0.7316230883078441,0.5505673408978786,0.8293043907252097,0.028613714849531346,-0.688702516033547,BUY,0.028613714849531346,0.7173162308830784
DOWN,SECOND_ATTEMPT,STABLE,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,FULL,DOWN,262,54.77711432901873,1.086454981324212,1.074922066723841,-0.014507663495532272,0.7099236641221374,0.5801526717557252,0.8740458015267175,-0.7595419847328244,0.026717557251908386,SELL,0.026717557251908386,0.7862595419847328
DOWN,SECOND_ATTEMPT,STABLE,NO_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,FULL,DOWN,141,54.920123052896685,1.0467657295519284,-0.6434934930781527,-0.11406215989647699,0.6382978723404256,0.5815602836879432,0.7659574468085106,-0.6170212765957448,0.021276595744680826,SELL,0.021276595744680826,0.6382978723404256
DOWN,SECOND_ATTEMPT,STABLE,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,FULL,UP,80,49.77707737207624,1.037428809321184,-2.828001600763726,0.059163686491930635,0.6625,0.55,0.85,0.012500000000000011,-0.65,BUY,0.012500000000000011,0.6625000000000001
UP,SECOND_ATTEMPT,IMPROVING,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,FULL,UP,137,60.653279378536,1.1700205342985608,22.142347195871892,0.4185024866628196,0.708029197080292,0.5693430656934306,0.8102189781021898,0.007299270072992692,-0.5766423357664234,BUY,0.007299270072992692,0.5839416058394161
DOWN,SECOND_ATTEMPT,WEAKENING,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,FULL,DOWN,303,45.70052881916844,0.8655281691499773,-20.4501952201717,-0.5356845097340062,0.6765676567656765,0.5676567656765676,0.8382838283828383,-0.6270627062706271,0.0,SELL,0.0,0.6270627062706271
DOWN,FIRST_ATTEMPT,WEAKENING,ONE_RECENT_FAILURE,WEAKENING_LEVEL_ATTEMPT,MIXED,UP,126,44.78230621589655,0.9211392953877547,-22.24681334468735,-0.4267193109401558,0.4365079365079365,0.8253968253968254,0.46825396825396826,-0.007936507936507908,-0.5714285714285714,BUY,-0.007936507936507908,0.5634920634920635
UP,SECOND_ATTEMPT,IMPROVING,NO_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,NONE,MIXED,75,61.31488333910398,1.2052579251448894,19.423811458328014,0.36022639234835363,0.28,0.8666666666666667,0.3333333333333333,-0.7200000000000001,-0.013333333333333364,SELL,-0.013333333333333364,0.7066666666666668
DOWN,SECOND_ATTEMPT,WEAKENING,NO_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,NONE,MIXED,94,41.06238517305726,0.7920294138261693,-21.249957484773507,-0.48832101145627316,0.24468085106382978,0.8936170212765957,0.4148936170212766,-0.021276595744680826,-0.5531914893617021,BUY,-0.021276595744680826,0.5319148936170213
UP,FIRST_ATTEMPT,FIRST_ATTEMPT,ONE_RECENT_FAILURE,ACTIVE_LEVEL_CONTACT,MIXED,DOWN,1681,45.42523351556799,0.8965028363318812,,,0.46222486615110053,0.7632361689470554,0.6103509815585961,-0.6049970255800119,-0.024390243902439046,SELL,-0.024390243902439046,0.5806067816775728
UP,SECOND_ATTEMPT,STABLE,NO_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,FULL,UP,224,55.3869664130974,0.9955808145878672,0.26457016852320564,-0.06344292389492155,0.6830357142857143,0.59375,0.8125,-0.026785714285714246,-0.6651785714285714,BUY,-0.026785714285714246,0.6383928571428572
DOWN,FIRST_ATTEMPT,IMPROVING,ONE_RECENT_FAILURE,IMPROVING_LEVEL_ATTEMPT,FULL,DOWN,140,67.91065594521312,1.5423061120439372,26.67442692226924,0.7193227122240342,0.6214285714285714,0.6357142857142857,0.8285714285714286,-0.6357142857142858,-0.02857142857142858,SELL,-0.02857142857142858,0.6071428571428572
DOWN,SECOND_ATTEMPT,WEAKENING,TWO_RECENT_FAILURES,SECOND_LEVEL_ATTEMPT,MIXED,UP,152,37.29578251612586,0.7647846896919116,-21.734592231420397,-0.4158939727388069,0.4934210526315789,0.6907894736842105,0.5526315789473685,-0.032894736842105254,-0.506578947368421,BUY,-0.032894736842105254,0.47368421052631576
DOWN,FIRST_ATTEMPT,FIRST_ATTEMPT,NO_RECENT_FAILURE,CLEAN_FIRST_ATTEMPT,NONE,MIXED,3251,57.3897464968671,1.0906060257978174,,,0.25622885266071976,0.8914180252230083,0.4201784066441095,-0.033528145186096536,-0.6148877268532759,BUY,-0.033528145186096536,0.5813595816671793
DOWN,SECOND_ATTEMPT,WEAKENING,TWO_RECENT_FAILURES,SECOND_LEVEL_ATTEMPT,MIXED,DOWN,146,36.57251195134909,0.7407322210399567,-24.68908907793328,-0.49218399345290037,0.4315068493150685,0.7945205479452054,0.6027397260273972,-0.5753424657534246,-0.034246575342465724,SELL,-0.034246575342465724,0.5410958904109588
DOWN,SECOND_ATTEMPT,IMPROVING,TWO_RECENT_FAILURES,SECOND_LEVEL_ATTEMPT,MIXED,UP,114,58.46388160078889,1.1925224057797335,20.082203227945296,0.42209014268397804,0.43859649122807015,0.7719298245614035,0.6140350877192983,-0.03508771929824561,-0.5263157894736843,BUY,-0.03508771929824561,0.4912280701754387
UP,SECOND_ATTEMPT,WEAKENING,NO_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,FULL,UP,327,45.231406093880324,0.8065456102058564,-22.3988629757533,-0.5928588806188462,0.6941896024464832,0.5626911314984709,0.7767584097859327,-0.03669724770642202,-0.6422018348623852,BUY,-0.03669724770642202,0.6055045871559632
DOWN,SECOND_ATTEMPT,IMPROVING,TWO_RECENT_FAILURES,SECOND_LEVEL_ATTEMPT,FULL,UP,97,62.92416472866858,1.3248431916582917,23.24878053721993,0.5457468385920066,0.7216494845360825,0.6185567010309279,0.8247422680412371,-0.04123711340206182,-0.7731958762886598,BUY,-0.04123711340206182,0.731958762886598
UP,SECOND_ATTEMPT,STABLE,TWO_RECENT_FAILURES,SECOND_LEVEL_ATTEMPT,MIXED,UP,63,39.63866988443005,0.8063174914145861,-2.522827797982974,-0.019201884699847356,0.4603174603174603,0.8095238095238095,0.5396825396825397,-0.04761904761904767,-0.5714285714285714,BUY,-0.04761904761904767,0.5238095238095237
UP,SECOND_ATTEMPT,IMPROVING,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,NONE,MIXED,118,56.4049290075588,1.1200551462554509,20.75622621579132,0.3834291247590571,0.2966101694915254,0.8898305084745762,0.4491525423728814,-0.5508474576271186,-0.050847457627118675,SELL,-0.050847457627118675,0.49999999999999994
UP,SECOND_ATTEMPT,IMPROVING,NO_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,FULL,UP,131,64.93195947932935,1.264066283332569,19.15868852022917,0.4113068646129734,0.7404580152671756,0.5877862595419847,0.7938931297709924,-0.05343511450381677,-0.6717557251908397,BUY,-0.05343511450381677,0.6183206106870229
UP,SECOND_ATTEMPT,STABLE,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,FULL,UP,183,47.78407635295914,0.8705712050511989,0.40017263170411854,-0.03799802343030982,0.6612021857923497,0.5519125683060109,0.8032786885245902,-0.054644808743169404,-0.639344262295082,BUY,-0.054644808743169404,0.5846994535519126
DOWN,FIRST_ATTEMPT,FIRST_ATTEMPT,ONE_RECENT_FAILURE,ACTIVE_LEVEL_CONTACT,MIXED,DOWN,3334,52.73539579030877,1.0961181302092677,,,0.4340131973605279,0.7819436112777445,0.5881823635272946,-0.5803839232153569,-0.06088782243551294,SELL,-0.06088782243551294,0.519496100779844
UP,FIRST_ATTEMPT,FIRST_ATTEMPT,ONE_RECENT_FAILURE,ACTIVE_LEVEL_CONTACT,MIXED,UP,1993,45.11502408258617,0.9038106432427536,,,0.4239839438033116,0.7927747114902157,0.5393878575012544,-0.06422478675363769,-0.5659809332664325,BUY,-0.06422478675363769,0.5017561465127949
UP,FIRST_ATTEMPT,FIRST_ATTEMPT,NO_RECENT_FAILURE,CLEAN_FIRST_ATTEMPT,FULL,UP,7958,62.20562531054614,1.212122091849946,,,0.6631063081176175,0.6127167630057804,0.7828600150791656,-0.07652676551897458,-0.5835637094747425,BUY,-0.07652676551897458,0.5070369439557678
DOWN,FIRST_ATTEMPT,STABLE,ONE_RECENT_FAILURE,ACTIVE_LEVEL_CONTACT,MIXED,UP,106,49.57556674660368,1.0415115485729463,-2.5631168587377484,0.06445742658884998,0.42452830188679247,0.7547169811320755,0.5849056603773585,-0.08490566037735847,-0.4433962264150943,BUY,-0.08490566037735847,0.3584905660377358
DOWN,FIRST_ATTEMPT,FIRST_ATTEMPT,ONE_RECENT_FAILURE,ACTIVE_LEVEL_CONTACT,MIXED,UP,3227,50.89463553031675,1.0349092666816284,,,0.45522156801983266,0.7784319801673381,0.5739076541679579,-0.08955686396033469,-0.5286643941741556,BUY,-0.08955686396033469,0.4391075302138209
DOWN,SECOND_ATTEMPT,STABLE,TWO_RECENT_FAILURES,SECOND_LEVEL_ATTEMPT,MIXED,UP,126,42.50435390419268,0.8702990074428694,-1.1549720911939634,0.025579188260204524,0.35714285714285715,0.8333333333333334,0.5317460317460317,-0.09523809523809523,-0.5793650793650793,BUY,-0.09523809523809523,0.4841269841269841
UP,THIRD_ATTEMPT,WEAKENING,ONE_RECENT_FAILURE,THIRD_LEVEL_ATTEMPT,MIXED,UP,62,33.62886452789335,0.6842459703578998,-22.8549238743687,-0.4034743946185577,0.41935483870967744,0.7741935483870968,0.4838709677419355,-0.09677419354838707,-0.467741935483871,BUY,-0.09677419354838707,0.37096774193548393
DOWN,FIRST_ATTEMPT,FIRST_ATTEMPT,NO_RECENT_FAILURE,CLEAN_FIRST_ATTEMPT,FULL,DOWN,6558,65.7399147673392,1.3542308989904583,,,0.6344922232387923,0.6678865507776761,0.8016163464470876,-0.5548947849954255,-0.10430009149130831,SELL,-0.10430009149130831,0.45059469350411724
DOWN,SECOND_ATTEMPT,WEAKENING,TWO_RECENT_FAILURES,SECOND_LEVEL_ATTEMPT,FULL,DOWN,67,38.42735508073114,0.8013685056413425,-23.552577938395444,-0.5588022267252708,0.7164179104477612,0.5671641791044776,0.8059701492537313,-0.6716417910447761,-0.10447761194029848,SELL,-0.10447761194029848,0.5671641791044776
DOWN,FIRST_ATTEMPT,STABLE,ONE_RECENT_FAILURE,ACTIVE_LEVEL_CONTACT,MIXED,DOWN,84,51.57091787969245,1.0730038156936106,-1.6824236329935227,0.08743527791723756,0.5238095238095238,0.7142857142857143,0.7023809523809523,-0.40476190476190477,-0.1071428571428572,SELL,-0.1071428571428572,0.29761904761904756
DOWN,THIRD_ATTEMPT,IMPROVING,ONE_RECENT_FAILURE,THIRD_LEVEL_ATTEMPT,FULL,DOWN,46,57.13744373866381,1.2093480461869288,22.097259922419422,0.47767120508379673,0.5869565217391305,0.6739130434782609,0.8043478260869565,-0.6956521739130435,-0.10869565217391303,SELL,-0.10869565217391303,0.5869565217391304
UP,SECOND_ATTEMPT,WEAKENING,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,FULL,UP,216,39.87027682161892,0.7378945788581203,-26.22414566523022,-0.6058208175739451,0.6712962962962963,0.6157407407407407,0.7731481481481481,-0.1111111111111111,-0.6342592592592593,BUY,-0.1111111111111111,0.5231481481481481
DOWN,THIRD_ATTEMPT,WEAKENING,TWO_RECENT_FAILURES,THIRD_LEVEL_ATTEMPT,MIXED,DOWN,45,31.154780392675036,0.6723084069520378,-20.299409567858294,-0.3800842009064478,0.4666666666666667,0.6444444444444445,0.7333333333333333,-0.5111111111111111,-0.11111111111111116,SELL,-0.11111111111111116,0.3999999999999999
DOWN,SECOND_ATTEMPT,STABLE,TWO_RECENT_FAILURES,SECOND_LEVEL_ATTEMPT,MIXED,DOWN,122,46.12203745580005,0.9378533576495761,-2.552550482923992,-0.008964233549229254,0.47540983606557374,0.7540983606557377,0.6311475409836066,-0.5901639344262295,-0.1147540983606557,SELL,-0.1147540983606557,0.4754098360655738
UP,THIRD_ATTEMPT,STABLE,NO_RECENT_FAILURE,THIRD_LEVEL_ATTEMPT,FULL,UP,41,48.93572237162454,0.9240396209793366,0.38059101956625546,-0.07134594676819277,0.6341463414634146,0.5853658536585366,0.7317073170731707,-0.12195121951219517,-0.5609756097560976,BUY,-0.12195121951219517,0.43902439024390244
DOWN,SECOND_ATTEMPT,WEAKENING,NO_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,FULL,DOWN,171,51.13244549442728,0.8929519823621975,-20.980979239581007,-0.625900568948807,0.6023391812865497,0.6432748538011696,0.7953216374269005,-0.6140350877192982,-0.13450292397660818,SELL,-0.13450292397660818,0.47953216374269
DOWN,SECOND_ATTEMPT,WEAKENING,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,MIXED,DOWN,409,40.966207752571755,0.8056997033514469,-21.932550283018646,-0.4844199794324002,0.45232273838630804,0.7603911980440098,0.6454767726161369,-0.5305623471882641,-0.14180929095354528,SELL,-0.14180929095354528,0.38875305623471884
DOWN,SECOND_ATTEMPT,WEAKENING,ONE_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,NONE,MIXED,303,41.27451531416546,0.8021607589996246,-22.36121044742234,-0.47348265802355083,0.30033003300330036,0.8448844884488449,0.47194719471947194,-0.1419141914191419,-0.44884488448844884,BUY,-0.1419141914191419,0.3069306930693069
UP,THIRD_ATTEMPT,WEAKENING,ONE_RECENT_FAILURE,THIRD_LEVEL_ATTEMPT,NONE,MIXED,40,34.23331509772529,0.6635059746507842,-26.09331056007725,-0.5340097650443666,0.3,0.875,0.475,-0.44999999999999996,-0.14999999999999997,SELL,-0.14999999999999997,0.3
UP,SECOND_ATTEMPT,WEAKENING,TWO_RECENT_FAILURES,SECOND_LEVEL_ATTEMPT,MIXED,UP,72,34.04158773759853,0.6750686049377946,-19.6863458592073,-0.41046457010073845,0.4166666666666667,0.8194444444444444,0.4861111111111111,-0.15277777777777773,-0.4583333333333333,BUY,-0.15277777777777773,0.3055555555555556
DOWN,THIRD_ATTEMPT,IMPROVING,TWO_RECENT_FAILURES,THIRD_LEVEL_ATTEMPT,MIXED,DOWN,52,59.58721449792806,1.2424589407959408,22.453488328948424,0.4563819907109369,0.5,0.7307692307692307,0.6730769230769231,-0.4230769230769231,-0.1538461538461538,SELL,-0.1538461538461538,0.2692307692307693
DOWN,THIRD_ATTEMPT,IMPROVING,TWO_RECENT_FAILURES,THIRD_LEVEL_ATTEMPT,NONE,MIXED,55,55.507837014064116,1.1319323692104315,22.235813416303067,0.43449560786511393,0.3090909090909091,0.9090909090909091,0.36363636363636365,-0.16363636363636358,-0.6727272727272726,BUY,-0.16363636363636358,0.509090909090909
DOWN,SECOND_ATTEMPT,STABLE,NO_RECENT_FAILURE,SECOND_LEVEL_ATTEMPT,NONE,MIXED,55,51.547157770075884,0.9528662028301992,-0.32030070626640794,-0.08956412347603536,0.21818181818181817,0.8909090909090909,0.4909090909090909,-0.16363636363636358,-0.5272727272727273,BUY,-0.16363636363636358,0.36363636363636376
DOWN,THIRD_ATTEMPT,STABLE,TWO_RECENT_FAILURES,THIRD_LEVEL_ATTEMPT,NONE,MIXED,48,46.555454438754204,0.9456360270992987,-2.138184438462512,-0.0012285468138059918,0.2916666666666667,0.9166666666666666,0.5,-0.16666666666666669,-0.5,BUY,-0.16666666666666669,0.3333333333333333
DOWN,FIRST_ATTEMPT,IMPROVING,ONE_RECENT_FAILURE,IMPROVING_LEVEL_ATTEMPT,NONE,MIXED,198,62.828135770070034,1.3927041774219775,23.026486237139093,0.6102795503424493,0.2878787878787879,0.898989898989899,0.42424242424242425,-0.4545454545454546,-0.16666666666666669,SELL,-0.16666666666666669,0.2878787878787879
DOWN,THIRD_ATTEMPT,IMPROVING,ONE_RECENT_FAILURE,THIRD_LEVEL_ATTEMPT,MIXED,DOWN,47,55.66473790601947,1.1563477201364996,19.07522615213503,0.3794406168104356,0.425531914893617,0.7021276595744681,0.6595744680851063,-0.4893617021276596,-0.1702127659574469,SELL,-0.1702127659574469,0.3191489361702127
