hour,anchor_market_state,energy_bucket,mtf_alignment_bucket,mtf_bias,event_name,zone,bars,avg_energy,avg_range_atr,avg_vol_ratio,breakout_pct,false_break_pct,sweep_pct,buy_tp,buy_sl,buy_edge,sell_tp,sell_sl,sell_edge,buy_fast_tp,buy_fast_sl,buy_fast_edge,sell_fast_tp,sell_fast_sl,sell_fast_edge,best_side,edge_delta_buy_minus_sell,level_guidance
12,SWEEP_OR_FALSE_BREAK,LOW,FULL,UP,FALSE_BREAK,RESISTANCE,121,30.908972496353204,0.6385747142661007,0.7565567968845202,0.0,1.0,1.0,0.6033057851239669,0.39669421487603307,0.20661157024793386,0.08264462809917356,0.9173553719008265,-0.834710743801653,0.5619834710743802,0.3884297520661157,0.1735537190082645,0.15702479338842976,0.8016528925619835,-0.6446280991735537,BUY,1.0413223140495869,rompimento favorece compra; esperar aceitação/reteste
21,ACCEPTED_BREAKOUT,HIGH,FULL,UP,BREAKOUT,RESISTANCE,134,71.1129345497669,1.2497833267460399,1.616131020863651,1.0,0.0,0.0,0.5597014925373134,0.43283582089552236,0.12686567164179102,0.13432835820895522,0.8507462686567164,-0.7164179104477613,0.41044776119402987,0.26865671641791045,0.14179104477611942,0.11940298507462686,0.6865671641791045,-0.5671641791044776,BUY,0.8432835820895523,rompimento favorece compra; esperar aceitação/reteste
8,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,UP,FALSE_BREAK,SUPPORT,120,49.80698003068879,0.936914256402302,1.0439265545782919,0.0,1.0,1.0,0.5666666666666667,0.4166666666666667,0.14999999999999997,0.15,0.8333333333333334,-0.6833333333333333,0.39166666666666666,0.35833333333333334,0.033333333333333326,0.125,0.7333333333333333,-0.6083333333333333,BUY,0.8333333333333333,defesa do suporte favorece compra; evitar vender fundo esticado
3,NORMAL_FLOW,MEDIUM,FULL,UP,BREAKOUT,RESISTANCE,129,50.165535754934375,0.9442491818704547,0.9348744426020134,1.0,0.0,0.0,0.5193798449612403,0.4418604651162791,0.07751937984496127,0.17054263565891473,0.8217054263565892,-0.6511627906976745,0.40310077519379844,0.4108527131782946,-0.007751937984496138,0.23255813953488372,0.6666666666666666,-0.43410852713178294,BUY,0.7286821705426357,rompimento favorece compra; esperar aceitação/reteste
11,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,UP,FALSE_BREAK,SUPPORT,146,49.18588790221507,0.8037752630829811,0.9436582861158074,0.0,1.0,1.0,0.5273972602739726,0.4657534246575342,0.06164383561643838,0.17123287671232876,0.8287671232876712,-0.6575342465753424,0.410958904109589,0.4246575342465753,-0.0136986301369863,0.2054794520547945,0.7054794520547946,-0.5,BUY,0.7191780821917808,defesa do suporte favorece compra; evitar vender fundo esticado
23,NORMAL_FLOW,MEDIUM,FULL,UP,BREAKOUT,RESISTANCE,143,49.165868420043076,0.9439908335505028,0.8467731899666486,1.0,0.0,0.0,0.5104895104895105,0.4755244755244755,0.034965034965035,0.16783216783216784,0.8321678321678322,-0.6643356643356644,0.44755244755244755,0.46853146853146854,-0.02097902097902099,0.15384615384615385,0.7552447552447552,-0.6013986013986014,BUY,0.6993006993006994,rompimento favorece compra; esperar aceitação/reteste
12,NORMAL_FLOW,MEDIUM,FULL,UP,BREAKOUT,RESISTANCE,186,49.412493683337765,0.8702216397955527,0.8202589149369846,1.0,0.0,0.0,0.478494623655914,0.5,-0.021505376344086002,0.13978494623655913,0.8440860215053764,-0.7043010752688172,0.45698924731182794,0.46236559139784944,-0.005376344086021501,0.21505376344086022,0.7204301075268817,-0.5053763440860215,BUY,0.6827956989247312,rompimento favorece compra; esperar aceitação/reteste
8,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,UP,FALSE_BREAK,RESISTANCE,141,49.635127076124654,0.9147348590836006,1.0688612428757664,0.0,1.0,1.0,0.5177304964539007,0.46808510638297873,0.049645390070921946,0.18439716312056736,0.7872340425531915,-0.6028368794326242,0.3829787234042553,0.3971631205673759,-0.014184397163120588,0.14893617021276595,0.7092198581560284,-0.5602836879432624,BUY,0.6524822695035462,rompimento favorece compra; esperar aceitação/reteste
4,NORMAL_FLOW,MEDIUM,FULL,UP,BREAKOUT,RESISTANCE,145,50.850810776385146,0.9664561645901988,0.9407592283702272,1.0,0.0,0.0,0.503448275862069,0.4827586206896552,0.02068965517241378,0.18620689655172415,0.8137931034482758,-0.6275862068965516,0.36551724137931035,0.41379310344827586,-0.0482758620689655,0.21379310344827587,0.6758620689655173,-0.4620689655172414,BUY,0.6482758620689655,rompimento favorece compra; esperar aceitação/reteste
7,SWEEP_OR_FALSE_BREAK,MEDIUM,MIXED,UP,FALSE_BREAK,SUPPORT,124,47.757622457263764,0.903809292890764,0.9974499329357426,0.0,1.0,1.0,0.46774193548387094,0.5241935483870968,-0.05645161290322581,0.16129032258064516,0.8306451612903226,-0.6693548387096775,0.4032258064516129,0.4435483870967742,-0.04032258064516131,0.1693548387096774,0.75,-0.5806451612903226,BUY,0.6129032258064517,defesa do suporte favorece compra; evitar vender fundo esticado
16,NORMAL_FLOW,MEDIUM,FULL,UP,BREAKOUT,RESISTANCE,130,49.959590362969955,0.9479450289241144,0.9072805893374508,1.0,0.0,0.0,0.49230769230769234,0.5,-0.007692307692307665,0.18461538461538463,0.8,-0.6153846153846154,0.47692307692307695,0.4307692307692308,0.046153846153846156,0.2,0.7384615384615385,-0.5384615384615385,BUY,0.6076923076923078,rompimento favorece compra; esperar aceitação/reteste
