timeframe,pattern_type,breakout_side,higher_tf_context,sample_size,false_breakout_rate,retest_rate,avg_quality,avg_breakout_atr,aligned_rate,near_obstacle_rate,avg_available_space_atr,success_rate_3,avg_mfe_3_atr,avg_mae_3_atr,avg_return_3_atr,success_rate_6,avg_mfe_6_atr,avg_mae_6_atr,avg_return_6_atr,success_rate_12,avg_mfe_12_atr,avg_mae_12_atr,avg_return_12_atr
M15,TRIANGLE_SYMMETRIC,DOWN,INSIDE_HTF_CANDLE_RANGE,13,0.46153846153846156,0.6923076923076923,49.754304855322545,0.41123681619764396,0.0,1.0,0.5703317454101424,0.38461538461538464,0.6633239859588683,0.8329203227773969,-0.17775583561950162,0.38461538461538464,1.1503123546814442,0.9498133559475175,0.1253143364053422,0.5384615384615384,2.4875553617615034,1.3225760882693582,1.051430353701682
M15,TRIANGLE_SYMMETRIC,UP,INSIDE_HTF_CANDLE_RANGE,13,0.38461538461538464,0.38461538461538464,49.8822353777196,0.44360741109156304,0.0,1.0,0.4852633309562434,0.46153846153846156,0.6838868282384619,0.8341886615331267,-0.151611341966833,0.5384615384615384,0.865394585533305,1.3690872369185167,-0.47451301011584907,0.5384615384615384,1.4355738795963762,1.8157070116988576,-0.046085862856721005
M5,TRIANGLE_SYMMETRIC,UP,NO_NEAR_HTF_ZONE,11,0.36363636363636365,0.5454545454545454,47.2276040158428,0.4739669504527084,0.0,0.0,,0.45454545454545453,1.3145933111749553,0.5503365164321633,0.45633633293550574,0.5454545454545454,1.714366577933538,0.700511887144425,1.1101462507119488,0.7272727272727273,2.8775859224877505,1.3707634505852964,0.993111375834652
M5,TRIANGLE_SYMMETRIC,DOWN,NO_NEAR_HTF_ZONE,10,0.3,0.6,49.9760173403068,0.6885323002556565,0.0,0.0,,0.4,0.6524876554710402,0.9057992596095381,-0.2217081557205694,0.3,0.7334853272680237,1.3495559540362485,-0.6604827229830443,0.4,1.6055444815759554,4.255390924090881,-1.8747353095973398
H1,TRIANGLE_SYMMETRIC,UP,NO_NEAR_HTF_ZONE,7,0.2857142857142857,0.42857142857142855,51.93705322136494,0.43016243191299647,0.0,0.0,,0.42857142857142855,0.8371341127962769,0.8051819765379501,0.3402486116078926,0.7142857142857143,1.6198249037343646,0.9720526249235543,0.8750572307202037,0.8571428571428571,2.6432751750275334,1.5255282947975597,1.2262900075327547
M15,TRIANGLE_ASCENDING,DOWN,INSIDE_HTF_CANDLE_RANGE,7,0.5714285714285714,0.7142857142857143,51.3208556999404,0.6741820221175615,0.0,1.0,0.5162163693936155,0.5714285714285714,0.7825996298775285,1.192363616396849,-0.4406370426342094,0.42857142857142855,1.1092426408127287,1.481684161026599,-0.422642282261937,0.2857142857142857,1.337827558829683,3.9578771137042996,-2.9203144371732503
H1,TRIANGLE_SYMMETRIC,DOWN,NO_NEAR_HTF_ZONE,5,0.2,0.6,50.27666777053967,0.5412939646568893,0.0,0.0,,0.6,0.8556229565827158,0.4747267916074612,0.48448467493887915,0.8,1.4024353381436603,0.607794814073986,0.7065425808383323,0.6,1.9857377661044366,0.8069393627918447,0.7819927982141092
M5,TRIANGLE_ASCENDING,UP,NO_NEAR_HTF_ZONE,4,0.5,0.5,49.38611753587307,0.9459123014876636,0.0,0.0,,0.25,0.3006705101284538,1.411098149071191,-0.6124546324493103,0.25,0.6547544584217833,2.278960654738414,-0.8208165062379775,0.25,0.824486542397239,2.278960654738414,-0.07183937183552644
M5,TRIANGLE_DESCENDING,UP,NO_NEAR_HTF_ZONE,4,0.5,0.5,44.44848694964665,0.656440979123344,0.0,0.0,,0.5,0.9927750782184487,0.8144963456620141,0.02905042542610667,0.5,1.12578012072984,1.1662354603643283,0.0849944327503172,0.5,1.8212987886372167,1.5225468954778234,0.34134066887474
M5,TRIANGLE_ASCENDING,DOWN,NO_NEAR_HTF_ZONE,4,0.25,0.25,41.3597289895917,1.0361015154522204,0.0,0.0,,0.75,1.6109174902271264,1.0582614983052532,0.06356961979387524,0.75,1.6109174902271264,1.109023482089588,-0.20196066411223407,0.75,1.6462820751876606,1.3273613544546183,0.08773023713857718
