timeframe,pattern_type,breakout_side,sample_size,false_breakout_rate,retest_rate,avg_quality_score,avg_compression_ratio,avg_breakout_distance_atr,avg_breakout_volume_ratio,existing_breakout_agreement_rate,success_rate_3,avg_mfe_3_atr,avg_mae_3_atr,avg_close_return_3_atr,success_rate_6,avg_mfe_6_atr,avg_mae_6_atr,avg_close_return_6_atr,success_rate_12,avg_mfe_12_atr,avg_mae_12_atr,avg_close_return_12_atr
H1,RANGE_BOX,UP,917,0.0021810250817884407,0.13086150490730644,56.29111393755832,-0.004918387925020451,0.4216602473715562,1.019730317210774,0.9934569247546347,0.026172300981461286,0.19314857633450327,0.8987778374536328,0.0030163210950939316,0.026172300981461286,0.19314857633450327,0.8987778374536328,0.0030163210950939316,0.18865866957470012,0.5616856753151005,0.9669708058493061,0.06568824227993797
H1,RANGE_BOX,DOWN,688,0.0,0.09447674418604651,56.766978870611425,-0.008618806901370702,0.4405899786870263,1.0650192465625394,0.997093023255814,0.04941860465116279,0.24518102014945953,0.9451050075520869,0.0004312163812889511,0.04941860465116279,0.24544760251708078,0.9451359311067311,0.0010123659427032055,0.22965116279069767,0.627831987701755,1.0413843310061273,-0.053059995139577217
H1,TRIANGLE_ASCENDING,DOWN,396,0.1388888888888889,0.5176767676767676,64.73586855355842,0.6566428302648135,0.1611743165357812,0.8926345701322393,0.0,0.10606060606060606,0.258968616777497,0.519097631206143,0.004678672273478012,0.21212121212121213,0.3972554091076422,0.5986173565368192,-0.019425929859563148,0.23737373737373738,0.4387469241221953,0.6222647273282697,-0.03735241825360539
H1,TRIANGLE_DESCENDING,UP,286,0.12937062937062938,0.5244755244755245,63.27708914713206,0.5995767701709536,0.15898876881349372,0.9898698586486128,0.006993006993006993,0.08391608391608392,0.24869259772786292,0.6511764934421991,-3.760904087234341e-05,0.19230769230769232,0.3983709449000816,0.7036200749875124,0.032673476833892,0.2062937062937063,0.43558291200505705,0.7263031311634592,0.03176918121595742
H1,TRIANGLE_SYMMETRIC,UP,72,0.041666666666666664,0.4305555555555556,70.01494022540425,0.745397995857939,0.17250817033893126,1.1302521639754748,0.0,0.041666666666666664,0.21090149786786608,0.7945518798721969,0.041033544767938274,0.1388888888888889,0.432090260765618,0.9095935426254766,0.048094440699858895,0.1527777777777778,0.5025880636662832,0.9194834475047793,0.06139374684857352
H1,TRIANGLE_SYMMETRIC,DOWN,49,0.02040816326530612,0.46938775510204084,71.37316948306447,0.8016967595171075,0.1919107938198219,1.1036567752551953,0.0,0.061224489795918366,0.16991250064175992,0.6316628686571227,0.01672911507683389,0.20408163265306123,0.4096727177658086,0.6637433440268703,0.09672828162135962,0.22448979591836735,0.4969303352931899,0.6676309568488691,0.12029151774189893
H1,TRIANGLE_ASCENDING,UP,6,0.0,0.16666666666666666,44.92060606245938,0.3467986321461549,0.11983334365158212,0.8181255261183448,0.8333333333333334,0.0,0.10883487634335871,0.484332956946747,0.03253687388664916,0.0,0.10883487634335871,0.484332956946747,0.03253687388664916,0.3333333333333333,0.4500623687382234,0.5311663569529689,0.056080604507280564
H1,TRIANGLE_DESCENDING,DOWN,3,0.0,0.0,52.31241855278583,0.41918326464212274,0.10473566590398402,0.8176886145733336,1.0,0.0,0.14183757462067784,0.6409849137784785,0.0,0.0,0.14183757462067784,0.6409849137784785,0.0,0.0,0.488705504351911,0.6409849137784785,-0.005809043858460945
M15,TRIANGLE_ASCENDING,DOWN,312,0.2692307692307692,0.6987179487179487,59.11991981489222,0.5582893325947359,0.40886417544999676,0.8085190145527094,0.7243589743589743,0.2532051282051282,0.5700510527803998,0.7174343192324911,0.03919669815938825,0.3717948717948718,0.7568733062407748,0.8242150411636191,0.06755642088644206,0.4551282051282051,1.0840340174736072,1.0097434044352416,0.07863192292744245
M15,TRIANGLE_DESCENDING,UP,224,0.20982142857142858,0.6785714285714286,57.98981807276664,0.5431621555923174,0.3963206702740469,0.7867701076938945,0.7589285714285714,0.29910714285714285,0.5382980080079619,0.7328451739983167,0.08216727881193275,0.39285714285714285,0.750001714979036,0.8514384369600828,0.09317219804796174,0.49107142857142855,1.0091041417691664,1.1148789744761793,0.06041374723788832
M15,TRIANGLE_SYMMETRIC,UP,213,0.20657276995305165,0.6431924882629108,63.4417096463646,0.7429434568003469,0.44103497529196906,0.9702693171707812,0.7417840375586855,0.25821596244131456,0.5117545840143732,0.7782392416258868,0.010361114586458949,0.352112676056338,0.6797890278120872,0.9088283579303084,0.020358521601893394,0.45539906103286387,0.9490687879491503,1.0869712973209809,0.09139308472207781
M15,TRIANGLE_SYMMETRIC,DOWN,178,0.2640449438202247,0.6853932584269663,65.75656450690194,0.7791577564206194,0.4721437988693649,0.969576485276731,0.7528089887640449,0.23595505617977527,0.5526286187828708,0.7886399559148397,-0.046118037404606946,0.3651685393258427,0.7423804816190052,0.9584970477440498,-0.14570832238017078,0.4101123595505618,1.1082854567697351,1.239718149541958,-0.058489097391278555
M15,TRIANGLE_ASCENDING,UP,171,0.24561403508771928,0.6374269005847953,60.93283151772857,0.5652566452426958,0.4599538198596591,0.876417467816119,0.9883040935672515,0.18128654970760233,0.5053196195074556,0.8899725926208458,0.030128670928405172,0.27485380116959063,0.6742025326718087,1.026836621563284,0.03000891608625455,0.3742690058479532,0.9416509816499129,1.2193525923884019,0.0009420494262891327
M15,TRIANGLE_DESCENDING,DOWN,121,0.256198347107438,0.6198347107438017,60.415410209709215,0.5218375812868689,0.4471561747775091,0.8704339829654378,1.0,0.21487603305785125,0.6412370390668122,0.8900609298157,0.02062694407939784,0.32231404958677684,0.8332962582120224,0.9872908952064797,0.03276339446920263,0.4049586776859504,1.1523572570985916,1.24131514639916,0.0017484071388611357
M15,RANGE_BOX,UP,108,0.25925925925925924,0.6203703703703703,46.43971480313342,0.17581637178529605,0.36519311096153656,0.7753168440919355,0.9444444444444444,0.14814814814814814,0.4920479398779001,0.8346510017715961,0.052552446909162435,0.25925925925925924,0.6595920107764436,0.9403364925272266,0.07121247755896919,0.4166666666666667,0.9677735906678419,1.1292927520855787,0.09426140050698913
M15,RANGE_BOX,DOWN,98,0.23469387755102042,0.6020408163265306,46.16143792800959,0.1744210825399039,0.4247718518923491,0.8643624742026803,0.9489795918367347,0.2857142857142857,0.5879978373601719,0.8345892531066408,-0.03789637325492295,0.4387755102040816,0.8431819459988357,0.9367325167269434,0.04108305633485736,0.4387755102040816,1.0392025201562662,1.1004523601624991,-0.03196220001416368
M5,TRIANGLE_SYMMETRIC,DOWN,18,0.3333333333333333,0.6666666666666666,56.644590537420264,0.7638928613817606,0.7257299977506533,0.9261967036829729,0.6111111111111112,0.3333333333333333,0.6394226073924492,0.8382449111824896,-0.20534090733283103,0.2777777777777778,0.7880862308251482,1.311132157565039,-0.562620677783361,0.3333333333333333,1.3199832734830024,3.0741478589568585,-1.3521209259400104
M5,TRIANGLE_SYMMETRIC,UP,17,0.35294117647058826,0.5882352941176471,55.26407425582932,0.7557689722135912,0.42733754552646885,0.8213651762452024,0.7647058823529411,0.5294117647058824,1.1399469286137136,0.5489811286775554,0.3568649321514139,0.6470588235294118,1.5454628578316962,0.7437070131612868,1.0132753472920477,0.6470588235294118,2.4615442853986607,1.317871543778072,0.7741799398232249
M5,TRIANGLE_ASCENDING,DOWN,9,0.3333333333333333,0.4444444444444444,51.63540788219662,0.4228576676929339,0.8000034519446704,0.9117758204845772,1.0,0.4444444444444444,0.9029562796744164,1.1045762286250709,-0.3514031860026346,0.3333333333333333,0.9029562796744164,1.6321857685826535,-0.9255682217063013,0.3333333333333333,0.9691836174834046,1.9815193877124193,-0.6881947282420088
