side,horizon_minutes,score,quality_class,sample_size,success_rate,avg_return_atr,median_return_atr,avg_mfe_atr,avg_mae_atr,avg_win_atr,avg_loss_atr,payoff_ratio,profit_factor
DOWN,5,-5,VERY_WEAK,311,0.4340836012861736,-0.09198954072450187,-0.1054354944334693,1.01872035002178,1.252133398202477,1.1625587830631918,-1.1737557600384416,0.9904605563129394,0.8540498210123549
DOWN,5,-4,VERY_WEAK,785,0.47770700636942676,-0.018299952933357903,0.04557291666682803,1.047771250635178,1.213121294981362,1.0913124384476676,-1.2314761675099457,0.8861823454158352,0.9688926976546465
DOWN,5,-3,VERY_WEAK,1258,0.4523052464228935,-0.0890130671379726,-0.058880625416427156,1.0931635397738169,1.2676531459146951,1.1826995534189384,-1.2616915430752134,0.9373919956190385,0.8642926198138843
DOWN,5,-2,WEAK,1658,0.48854041013269,-0.03762731278220649,-0.004813245398082243,1.1213550192786375,1.172178757753725,1.128120024039437,-1.1964880776210045,0.9428593942051601,0.9371795183364543
DOWN,5,-1,WEAK,1985,0.5188916876574308,0.055318466820673984,0.09406858202037578,1.2280121953746141,1.1415769224208356,1.2403727327942018,-1.246249329733633,0.9952845736409044,1.0933369733745952
DOWN,5,0,NEUTRAL,1899,0.5534491837809373,0.13982175425912438,0.14973262032106133,1.3756019565021143,1.0598561318889805,1.316276129681754,-1.242646665276738,1.0592521321325226,1.245320531921588
DOWN,5,1,NEUTRAL,1656,0.5929951690821256,0.23199685019849475,0.21592643763665662,1.4623560628254648,0.9867122619250632,1.3960954917175257,-1.2174358450764455,1.1467507691379513,1.4287642055699747
DOWN,5,2,STRONG,1599,0.5490931832395247,0.20170971644638816,0.13536895674338045,1.431628182424367,1.0355714705464072,1.4324471261968186,-1.2394505247063627,1.155711420216776,1.353564190525626
DOWN,5,3,STRONG,1380,0.6123188405797102,0.24193983114523948,0.17315327390758573,1.6025974397529175,0.9336795153569822,1.4334597707780625,-1.2140089343053884,1.180765421300821,1.4435809505581003
DOWN,5,4,VERY_STRONG,1317,0.7099468488990129,0.5934467953472773,0.5085361423901246,1.9204379400043232,0.6195420178502384,1.5584786028474567,-1.0427271591912497,1.4946178289402468,2.5359499228740248
DOWN,5,5,VERY_STRONG,750,0.708,0.7228523014894607,0.44496637219174107,2.1925663196074376,0.6022363729473575,1.928740787899778,-1.204896795502438,1.6007518611546308,2.562314611084322
