side,horizon_minutes,score,quality_class,valid_blocks,positive_return_blocks,negative_return_blocks,avg_block_return_atr,min_block_return_atr,max_block_return_atr,avg_block_success_rate,avg_block_profit_factor
DOWN,5,-5,VERY_WEAK,5,1,4,-0.0915712045268311,-0.2706709982609649,0.33926373248165714,0.43420378904249873,0.9297935839639095
DOWN,5,-4,VERY_WEAK,5,2,3,-0.01829995293335792,-0.2580790443376918,0.2807668030624245,0.47770700636942676,1.015718646002644
DOWN,5,-3,VERY_WEAK,5,1,4,-0.08907290752604066,-0.2738458177396293,0.19043979178422027,0.4523271991399481,0.8869062002988143
DOWN,5,-2,WEAK,5,2,3,-0.037632984250235035,-0.15441321888960935,0.11925945444309277,0.48850507771266327,0.9672788568716024
DOWN,5,-1,WEAK,5,4,1,0.05531846682067397,-0.014262854670656962,0.17675240160448893,0.5188916876574308,1.1037913979154457
DOWN,5,0,NEUTRAL,5,5,0,0.1398164270372376,0.05501402729960143,0.28886487039984177,0.5534411887237883,1.2586144569404514
DOWN,5,1,NEUTRAL,5,5,0,0.2320274202878025,0.1393043531681776,0.30446966447432045,0.5930040403305064,1.4347084544718596
DOWN,5,2,STRONG,5,5,0,0.20171151585315092,0.11953010390680918,0.2809764189517671,0.5490791536050157,1.3620508728462448
DOWN,5,3,STRONG,5,5,0,0.2419398311452395,0.14229555612714434,0.3809400667620824,0.6123188405797102,1.4659347179925273
DOWN,5,4,VERY_STRONG,5,5,0,0.5932845010688576,0.4006287786470629,0.7009330386420052,0.7099320198179513,2.590574105875299
DOWN,5,5,VERY_STRONG,5,5,0,0.7228523014894608,0.4269354716069188,0.9338974326363405,0.708,2.654041032043259
DOWN,15,-4,VERY_WEAK,5,3,2,-0.05876365975389238,-0.34311243038775935,0.1685994727263492,0.49126293995859216,0.9679432986343345
DOWN,15,-3,VERY_WEAK,5,2,3,-0.07426322657807687,-0.33232109376291286,0.17848727995056404,0.48204851752021566,0.9389597054995402
DOWN,15,-2,WEAK,5,4,1,0.02527761504240304,-0.05215459415146339,0.10589373208296764,0.4985923476617856,1.0270185597661894
DOWN,15,-1,WEAK,5,3,2,0.11652904311043813,-0.0582132037948109,0.32126344731653694,0.5168638257830354,1.1347084067316817
DOWN,15,0,NEUTRAL,5,4,1,0.10496063093571213,-0.08300926279395276,0.23799303752679,0.5477707006369427,1.1065756395467083
DOWN,15,1,NEUTRAL,5,5,0,0.19689147844384564,0.02782356129044051,0.4318755276721887,0.5566698402623507,1.2220371387991342
DOWN,15,2,STRONG,5,4,1,0.29717765418240305,-0.04986430835602672,0.8139981242117921,0.5671387359034881,1.3373807519614052
DOWN,15,3,STRONG,5,4,1,0.5902528613166595,-0.008081074956432245,0.9273385650384967,0.6041017653167186,1.7318181979684233
DOWN,15,4,VERY_STRONG,5,5,0,0.5115862798179168,0.05695804132460065,0.9601145161075552,0.6285554311310191,1.6795381277078434
DOWN,15,5,VERY_STRONG,5,5,0,0.8051785005807638,0.3494052467413994,1.5016267180619483,0.6592941176470588,2.232675525943823
DOWN,30,-4,VERY_WEAK,5,2,3,0.04191733728784526,-0.7058427920115568,1.254560042467302,0.5,1.0790143246299078
DOWN,30,-3,VERY_WEAK,5,2,3,-0.3776142303613648,-1.171224357245583,0.0834489733912655,0.49081585081585083,0.8448752558708084
DOWN,30,-2,WEAK,5,5,0,0.38235921606953854,0.09391804438851831,0.7056090769750412,0.5561643835616439,1.342834198312198
DOWN,30,-1,WEAK,5,4,1,0.2570075639167851,-0.3117030075079008,0.5893869145264383,0.5236559139784946,1.2067847745971434
DOWN,30,0,NEUTRAL,5,3,2,0.1388197256308258,-0.7513730157766154,0.6564503104187669,0.5341772151898734,1.139095601235907
DOWN,30,1,NEUTRAL,5,1,4,-0.09906615011774314,-0.4247770008201126,0.2758460770212518,0.510561403508772,0.9372367891224733
DOWN,30,2,STRONG,5,4,1,0.4924325813382036,-0.42045249744219587,0.8007468967334693,0.5872596153846154,1.4670666523977431
DOWN,30,3,STRONG,5,5,0,0.6301560098663618,0.3161262897878631,1.1857095509105147,0.5953242835595777,1.5283870763768905
DOWN,30,4,VERY_STRONG,5,4,1,0.9323241066164926,-0.044482070090952716,1.5886451265534636,0.6040816326530611,1.853332938565638
DOWN,60,-3,VERY_WEAK,5,4,1,0.1824819491796302,-0.904717391860813,0.9850190200711827,0.5139639639639639,1.1732265109090807
DOWN,60,-2,WEAK,5,4,1,0.5943467509177667,-0.5057351777084711,1.327435047073104,0.5525641025641026,1.328647390003252
DOWN,60,-1,WEAK,5,3,2,0.21863596555489026,-0.5181656403778286,1.5339932890963335,0.5312427409988386,1.1396690358112325
DOWN,60,0,NEUTRAL,5,4,1,0.8904083164798623,-0.3217351477282184,1.5235160130461909,0.5345665961945032,1.5630175304790002
DOWN,60,1,NEUTRAL,5,2,3,-0.06758022021734131,-0.9978288264089661,0.9560876274627681,0.5183535762483131,1.0441181081963868
DOWN,60,2,STRONG,5,3,2,-0.08678813215987921,-1.1124295444013514,1.1661228995501947,0.5547899159663865,1.0023096569407484
UP,5,-5,VERY_WEAK,5,1,4,-0.1253783656135128,-0.5696931996415642,0.3968221716670699,0.4230917874396135,0.9538716111639614
UP,5,-4,VERY_WEAK,5,0,5,-0.23931634380278455,-0.3534939808269187,-0.12936447430408857,0.407248322147651,0.663012669000907
UP,5,-3,VERY_WEAK,5,0,5,-0.20883256205562892,-0.29413214129244913,-0.10735348550914313,0.4360992356522866,0.7030060813781149
UP,5,-2,WEAK,5,2,3,-0.03468993546859093,-0.11522889424267707,0.07050724740215325,0.48991596638655466,0.953540446051931
UP,5,-1,WEAK,5,4,1,0.03277767731028252,-0.07974715583974787,0.10864392015657681,0.5048355967294803,1.0585815702403352
UP,5,0,NEUTRAL,5,4,1,0.1072281891306877,-0.004554855336894262,0.18758394342846252,0.5455419420936662,1.1814474383670541
UP,5,1,NEUTRAL,5,5,0,0.13651932187086824,0.04042624542094573,0.2413926198176595,0.5481726098803459,1.246998298718017
UP,5,2,STRONG,5,5,0,0.13385737638321,0.09117517435236422,0.2407151810209411,0.539804131254573,1.243688014301331
UP,5,3,STRONG,5,5,0,0.303769214416455,0.146755829808685,0.49115380184395696,0.6094349278172808,1.6093937780085603
UP,5,4,VERY_STRONG,5,5,0,0.6193382772764066,0.4805864078447139,0.7209461033882275,0.7060657943010884,2.396050522468708
UP,5,5,VERY_STRONG,5,5,0,0.9017988727366824,0.7861080791790382,0.9905519810125683,0.7223095823095822,3.3284700166063645
UP,15,-4,VERY_WEAK,5,2,3,-0.12250209287259975,-0.4943374499644886,0.10415310556814021,0.4676056338028169,0.9121349720072821
UP,15,-3,VERY_WEAK,5,1,4,-0.1947304869449427,-0.5509760213712462,0.14551034726398243,0.44273504273504277,0.8444666174499218
UP,15,-2,WEAK,5,1,4,-0.04831050248353867,-0.40297866825696677,0.41074665140178646,0.46785522582624034,0.9741731202349676
UP,15,-1,WEAK,5,1,4,-0.13431962810411205,-0.24421863113073208,0.0860244027121218,0.49133620110229864,0.894347008608964
UP,15,0,NEUTRAL,5,3,2,0.024034064652356073,-0.12755155618764144,0.17906267163397763,0.524719825848585,1.0289351543304193
UP,15,1,NEUTRAL,5,3,2,0.12553431257502906,-0.07197182238750471,0.3901134925050741,0.5351867754401031,1.1296385695668603
UP,15,2,STRONG,5,4,1,0.28044923794939713,-0.35525354883606286,0.7349238276427067,0.5222349206349206,1.3045561519867226
