side,horizon_minutes,score,quality_class,block,sample_size,success_rate,avg_return_atr,median_return_atr,avg_mfe_atr,avg_mae_atr,avg_win_atr,avg_loss_atr,payoff_ratio,profit_factor
DOWN,5,-5,VERY_WEAK,0,63,0.3968253968253968,-0.2216737620024459,-0.2447195921337821,1.0204703151221406,1.3162499964878098,1.1974204457089823,-1.218875097151017,0.9823979901696388,0.6903337228219084
DOWN,5,-5,VERY_WEAK,1,62,0.5161290322580645,0.33926373248165714,0.06376990591312169,1.2205249429979244,0.9387544482564347,1.4354395536559488,-0.9081087536821919,1.580691241919583,1.7987176201153876
DOWN,5,-5,VERY_WEAK,2,62,0.4032258064516129,-0.2706709982609649,-0.19393984191086294,0.8460789706690233,1.3425761876953657,0.943903089372461,-1.207628151578179,0.7816173282636124,0.6029619389462152
DOWN,5,-5,VERY_WEAK,3,62,0.41935483870967744,-0.23425941150712368,-0.3849113004009982,0.9715218790415766,1.2860961916586287,1.1893338453622528,-1.1961467472296754,0.9943042926102491,0.6718272247366548
DOWN,5,-5,VERY_WEAK,4,62,0.43548387096774194,-0.07051558334527816,0.14638286215686808,1.0349774170346817,1.3759560282321235,1.0208272228759705,-1.3123884318039405,0.7778392419024868,0.8851274131993816
DOWN,5,-4,VERY_WEAK,0,157,0.4394904458598726,-0.017733351004977985,-0.007993909402413499,0.9551418738471702,1.1694099565517666,1.1301671361675651,-1.1511034522639445,0.9818119595982423,0.969383960109657
DOWN,5,-4,VERY_WEAK,1,157,0.4267515923566879,-0.10207283601490426,0.02515723270437939,1.0095198829426715,1.2925504126332326,1.0635216246295114,-1.344351142754347,0.7911040432862922,0.8431503619235483
DOWN,5,-4,VERY_WEAK,2,157,0.5605095541401274,0.2807668030624245,0.3284457478008478,1.251028928096373,1.0654446216685929,1.1650299904936228,-1.1487920166180126,1.0141348247904909,1.639517966744627
DOWN,5,-4,VERY_WEAK,3,157,0.5477707006369427,0.0056186636283599295,0.21017811704839207,1.1157950516751698,1.2127266028867412,1.0419413179553758,-1.4232504506710104,0.732085710890967,1.0093909044102727
DOWN,5,-4,VERY_WEAK,4,157,0.4140127388535032,-0.2580790443376918,-0.3065236818589396,0.9073705166145051,1.3254748811664763,1.0367498815184542,-1.1258899201774493,0.9208270390723936,0.6171500368251148
DOWN,5,-3,VERY_WEAK,0,252,0.5079365079365079,0.19043979178422027,0.055864315937552464,1.3526493043631302,1.080394778947671,1.468415953504034,-1.1593018891180076,1.2666381097862258,1.3393140669051078
DOWN,5,-3,VERY_WEAK,1,251,0.46215139442231074,-0.18696331293097082,-0.14757103574704086,1.0593772593536366,1.2950128394841691,1.1245891728414323,-1.3139269303354064,0.8558993250517807,0.735439420044493
DOWN,5,-3,VERY_WEAK,2,252,0.4007936507936508,-0.2738458177396293,-0.12495406757101346,0.9767490816233679,1.4386872482845747,1.0353146557712667,-1.408451561449072,0.7350729582109966,0.6370632304495305
DOWN,5,-3,VERY_WEAK,3,251,0.4701195219123506,-0.06646171031071406,-0.008293838862740448,1.036109329263991,1.245251200328133,1.106158531825232,-1.2297754425884384,0.8994800949163395,0.8923413640043051
DOWN,5,-3,VERY_WEAK,4,252,0.42063492063492064,-0.1085334884331094,-0.09354704310960325,1.0405722461263465,1.2789393361320343,1.154208598763803,-1.1855782098657701,0.973540664933848,0.830372920090635
DOWN,5,-2,WEAK,0,332,0.5,-0.06834189431286895,-0.014483636099707585,1.219011291031732,1.1785503716314172,1.2330288266819853,-1.3467439310641802,0.915562935344109,0.899115696984634
DOWN,5,-2,WEAK,1,331,0.4350453172205438,-0.15289464743444414,-0.11375346809349898,1.023079474976683,1.3313577756225448,1.1675963074801023,-1.240773359753239,0.9410230307590663,0.7746543181386789
DOWN,5,-2,WEAK,2,332,0.46686746987951805,-0.15441321888960935,-0.1000375094121651,1.0761360490294618,1.2053109832168984,1.0814750807261189,-1.2631815791162913,0.8561517192822805,0.7680903995846746
DOWN,5,-2,WEAK,3,331,0.48338368580060426,0.06822538494265454,0.07077856420589014,1.1408118971443197,1.1654369688286959,1.106902254736884,-1.1111754478559543,0.9961543488678448,1.131117196133811
DOWN,5,-2,WEAK,4,332,0.5572289156626506,0.11925945444309277,0.11700032592902124,1.1474989785891954,0.9806968377490209,1.0609165247735326,-0.9888810464431286,1.0728454434327626,1.2634166735162138
DOWN,5,-1,WEAK,0,397,0.5340050377833753,-0.014262854670656962,0.15278369852499546,1.244702081976741,1.1462649528437105,1.2546912995362263,-1.4392915839938951,0.8717422609076745,0.9789618972759981
DOWN,5,-1,WEAK,1,397,0.5088161209068011,0.04664987973546721,0.041198501872538436,1.1739531740078601,1.1805510010339522,1.197125764130946,-1.2067633206322386,0.9920137144239326,1.0807728362408107
DOWN,5,-1,WEAK,2,397,0.4987405541561713,0.05946767432296609,-0.046009389671470675,1.2426059154392273,1.1153083723851323,1.2784643624950645,-1.093798800271225,1.1688295527276578,1.1058044297864604
DOWN,5,-1,WEAK,3,397,0.5264483627204031,0.17675240160448893,0.17441860465126907,1.2650178800762903,1.0724871893506331,1.2438819423476855,-1.1905843223364398,1.0447659346854599,1.340682297688856
DOWN,5,-1,WEAK,4,397,0.5264483627204031,0.007985233111104594,0.12694300518166227,1.2137819253729532,1.1932730964907494,1.2297117300836116,-1.310109300642273,0.9386329289325348,1.0127355285851034
DOWN,5,0,NEUTRAL,0,380,0.6078947368421053,0.28886487039984177,0.2570806269115467,1.4507644775093826,0.9049857907677994,1.355557303146587,-1.1693649914822672,1.159225146143896,1.586689418784458
DOWN,5,0,NEUTRAL,1,380,0.5263157894736842,0.09086307284490978,0.14782983307918196,1.383442329164014,1.076177615267287,1.2635377864367194,-1.3732455932371717,0.9201105706504862,1.1487771030014946
DOWN,5,0,NEUTRAL,2,379,0.5382585751978892,0.12970003267425897,0.045811518324771115,1.3283355152140206,1.1177937830483604,1.3315621051372237,-1.1429876284867613,1.164983830052581,1.2350101804929001
DOWN,5,0,NEUTRAL,3,380,0.5736842105263158,0.13464013196757593,0.13853747688323895,1.4128988152534703,1.0939571472651466,1.286386582688084,-1.295727409566975,0.9927910555801142,1.2336456903658224
DOWN,5,0,NEUTRAL,4,380,0.5210526315789473,0.05501402729960143,0.010215859894622122,1.3024442599978732,1.1065187905993603,1.3469947563460345,-1.2369667017468315,1.0889498920575813,1.088949892057581
DOWN,5,1,NEUTRAL,0,332,0.5783132530120482,0.18140335239429492,0.17408320943785632,1.4738211613460241,1.0307357710409188,1.4846493935334317,-1.3336057454512742,1.1132595960967808,1.2951647588576927
DOWN,5,1,NEUTRAL,1,331,0.6193353474320241,0.30446966447432045,0.2776292335116879,1.6297665680969116,0.9762371888986882,1.518246254848389,-1.2612107254222247,1.2038006212959493,1.5549091358406013
DOWN,5,1,NEUTRAL,2,331,0.6163141993957704,0.29873252294599023,0.3245674740485129,1.494509682251473,0.8990312185401449,1.3672980868957783,-1.1674350323882798,1.1711984384249876,1.60934461682858
DOWN,5,1,NEUTRAL,3,331,0.6012084592145015,0.23622720845622913,0.30274261603366176,1.3925694440405798,0.9572373040635853,1.3071415354909366,-1.2615007996430356,1.0361797121815663,1.4491498873263935
